newusername,roles
user001-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user002-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user003-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user004-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user005-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user006-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user007-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user008-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user009-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user010-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user011-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user012-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user013-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user014-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user015-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user016-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user017-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user018-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user019-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user020-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user021-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user022-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
user023-312494,roles=312494.DealerPortal.LendingUser&roles=312494.DealerPortal.UserAdministrator&
