Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,100,194,28,1400,1423,1427,21,1781,0.000%,.37925,0.21,0.13
/Home/Login,100,49,30,50,111,354,25,355,0.000%,.38126,0.91,0.17
/Account/Login,100,18318,18095,23518,26411,30049,8983,33228,0.000%,.36162,1.00,0.24
/CUDL,100,741,92,107,703,13206,81,16352,0.000%,.37615,0.99,0.78
/CUDL/styles/lending,100,85,69,90,147,262,57,764,0.000%,.37623,19.39,0.77
/css,100,330,319,365,398,463,288,478,0.000%,.37589,0.61,0.13
/CUDL/scripts/Libraries,100,116,105,133,148,411,92,413,0.000%,.37634,105.39,0.77
/CUDL/scripts/CUDLApp,100,59,50,68,73,126,37,675,0.000%,.37651,39.33,0.77
/CUDL/CudlWebConfig/GetCudlWebConfig,100,5703,5837,7922,8696,10185,2617,10350,0.000%,.37297,1.06,0.75
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,100,96,87,101,102,222,74,755,0.000%,.38340,0.18,0.99
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,100,33,30,34,36,51,23,288,0.000%,.38349,0.18,0.99
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,100,111,109,127,135,148,91,151,0.000%,.38338,0.11,0.40
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,100,26,26,30,33,38,21,41,0.000%,.38355,0.18,0.37
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,100,27,26,32,34,52,22,79,0.000%,.38355,0.18,0.37
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,100,35,31,36,40,196,25,211,0.000%,.38355,0.62,0.98
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,100,31,30,35,36,63,24,67,0.000%,.38356,0.34,0.98
/DealerPortal/DealerPortalAPI/v1/User,200,74,46,68,78,969,35,1046,0.000%,.76681,0.63,0.72
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,100,31,31,34,37,62,23,67,0.000%,.38353,0.25,0.98
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,100,31,31,35,36,42,23,46,0.000%,.38353,0.20,0.98
/DealerPortal/Lending/v1/SellerFilters/,100,77,73,96,98,104,59,139,0.000%,.38347,20.38,0.35
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,100,31,31,35,36,38,27,43,0.000%,.38353,0.13,0.37
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,100,32,31,37,44,66,24,67,0.000%,.38353,0.50,0.98
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,100,31,30,36,46,74,24,74,0.000%,.38352,0.35,0.98
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,100,32,31,36,41,54,25,113,0.000%,.38353,0.63,0.98
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,100,31,30,35,49,59,24,63,0.000%,.38354,0.25,0.98
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,100,31,31,35,37,50,22,51,0.000%,.38353,0.37,0.98
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},100,144,39,223,902,1451,30,1665,0.000%,.38351,0.10,1.04
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,100,35,32,41,82,101,24,121,0.000%,.38479,0.49,1.00
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,100,32,32,37,42,56,24,69,0.000%,.38479,0.35,1.00
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,100,62,28,101,122,796,23,928,0.000%,.38479,0.20,0.36
/API/MessageBoard/v1/messages,100,106,42,66,566,1811,33,1847,6.000%,.38477,0.22,0.99
TOTAL,3200,838,35,313,5527,20211,21,33228,0.188%,11.33542,183.78,20.64
