Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,3649,161,136,189,266,734,104,1870,0.000%,.33793,0.19,0.11
/Home/Login,3649,39,31,47,65,121,23,1016,0.000%,.33798,0.81,0.15
/Account/Login,3649,20714,20347,27454,29683,35111,8177,46711,0.000%,.33757,0.93,0.22
/CUDL,3644,118,96,138,216,670,75,1293,0.000%,.33812,0.89,0.70
/CUDL/styles/lending,3644,90,78,125,168,320,40,904,0.000%,.33812,17.42,0.69
/css,3644,324,317,341,368,508,195,1326,0.000%,.33812,0.55,0.11
/CUDL/scripts/Libraries,3644,159,112,268,462,789,86,1899,0.000%,.33812,94.69,0.69
/CUDL/scripts/CUDLApp,3643,101,78,139,212,544,61,1220,0.000%,.33819,62.82,0.69
/CUDL/CudlWebConfig/GetCudlWebConfig,3643,6621,6450,10038,10908,12698,2427,14939,0.000%,.33795,0.96,0.68
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,3641,102,91,125,162,314,69,1002,0.000%,.33803,0.16,0.87
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,3641,36,31,47,65,131,22,699,0.000%,.33803,0.16,0.87
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,3641,154,140,190,241,416,109,880,0.000%,.33803,0.10,0.35
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,3641,31,27,39,59,127,21,371,0.000%,.33803,0.16,0.33
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,3641,31,27,39,56,117,21,890,0.000%,.33803,0.16,0.33
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,3641,38,33,46,68,180,22,495,0.000%,.33803,0.55,0.86
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,3641,36,31,44,62,139,22,737,0.000%,.33803,0.30,0.86
/DealerPortal/DealerPortalAPI/v1/User,7282,90,45,77,146,1236,34,4066,0.000%,.67603,0.56,0.63
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,3641,39,32,50,78,163,21,974,0.000%,.33801,0.22,0.86
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,3640,37,32,44,61,128,22,948,0.000%,.33792,0.18,0.86
/DealerPortal/Lending/v1/SellerFilters/,3639,89,74,132,168,286,47,1373,0.000%,.33790,18.04,0.31
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,3639,37,33,46,66,132,24,420,0.000%,.33790,0.11,0.32
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,3639,39,32,48,68,147,22,1029,0.000%,.33790,0.44,0.86
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,3639,37,32,45,65,127,22,999,0.000%,.33790,0.31,0.86
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,3639,37,32,44,62,127,22,997,0.000%,.33790,0.55,0.86
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,3639,36,31,42,59,113,22,1002,0.000%,.33790,0.22,0.86
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,3639,36,32,44,59,108,22,1844,0.000%,.33790,0.33,0.87
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},3639,65,48,76,119,608,28,1851,0.000%,.33790,0.09,0.92
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,3639,37,33,46,62,112,22,901,0.000%,.33790,0.43,0.87
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,3639,36,32,43,57,101,22,551,0.000%,.33790,0.30,0.88
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,3639,60,29,59,118,867,22,4382,0.000%,.33790,0.18,0.32
/API/MessageBoard/v1/messages,3639,77,41,67,125,634,30,30086,0.357%,.33790,0.20,0.86
TOTAL,116527,926,40,309,5746,22760,21,46711,0.011%,10.77831,202.31,19.59
