Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,5855,256,204,383,481,867,108,3733,0.000%,2.38443,1.35,0.80
/Home/Login,5855,51,39,81,109,291,19,1035,0.000%,2.38610,0.88,1.06
/v2/,5855,50,38,74,91,157,19,1359,0.000%,2.38610,4.76,1.05
/v2/assets/config.json,5855,45,36,73,91,170,20,863,0.000%,2.38611,1.97,1.02
/V2/assets/dictionary/dictionary.json,5855,47,38,74,92,151,20,1265,0.000%,2.38613,17.98,1.07
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,5855,59,43,89,123,311,24,3364,0.000%,2.38613,55.21,1.19
/cuid/api/token/provider,5848,3708,1555,9839,16341,30564,344,51822,0.000%,2.38293,1.69,1.41
/cuid/api/token,5848,19209,14539,42222,57649,73938,650,100203,9.148%,2.38324,4.18,1.48
/Home/LoginWidget,5313,8992,1636,12936,72172,96426,712,106710,0.000%,2.16602,5.63,3.34
/CUDL,5313,350,113,1090,1807,3272,27,5846,0.000%,2.16691,5.73,6.65
/CUDL/styles/lending,5313,242,121,521,934,2090,35,4198,0.000%,2.16692,111.20,6.59
/css,5313,432,361,578,792,1446,163,15378,0.000%,2.16674,3.51,0.73
/CUDL/scripts/Libraries,5313,555,257,1396,1999,3525,85,7637,0.000%,2.16705,606.87,6.56
/CUDL/scripts/CUDLApp,5313,407,189,924,1470,3166,63,8167,0.000%,2.16710,403.41,6.56
/CUDL/CudlWebConfig/GetCudlWebConfig,5313,868,418,2185,3291,5691,207,7660,0.000%,2.16698,5.97,6.49
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5313,219,106,411,716,3111,24,5407,0.000%,2.16728,1.02,7.83
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5313,133,78,229,394,1130,23,4068,0.000%,2.16731,1.02,7.83
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5313,302,222,468,586,3306,117,3792,0.000%,2.16724,0.62,4.61
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5313,60,44,98,124,341,22,3233,0.000%,2.16747,1.03,4.47
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5313,58,43,92,115,358,22,2347,0.000%,2.16748,1.03,4.48
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5313,392,92,307,561,1725,23,566134,0.038%,2.16747,3.52,7.79
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5311,115,74,199,305,675,24,3493,0.000%,2.16664,1.94,7.80
/DealerPortal/DealerPortalAPI/v1/User,10621,249,68,290,727,3112,35,566296,0.009%,4.33283,3.57,8.80
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5310,143,83,260,394,1093,23,3612,0.000%,2.16627,1.41,7.79
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5310,107,74,193,288,562,23,2906,0.000%,2.16629,1.13,7.79
/DealerPortal/Lending/v1/SellerFilters/,5310,271,106,313,461,867,38,565913,0.019%,2.16632,116.34,4.37
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5309,76,48,116,220,476,25,3353,0.000%,2.16603,0.73,4.46
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5309,134,79,240,373,860,24,3455,0.000%,2.16602,2.82,7.79
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5309,108,73,187,266,607,24,3560,0.000%,2.16618,1.96,7.80
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5309,214,72,174,244,1093,23,565893,0.019%,2.16621,3.54,7.78
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5308,102,72,176,239,560,24,3243,0.000%,2.16582,1.43,7.81
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5308,207,72,174,239,529,24,566466,0.019%,2.16585,2.09,7.82
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5307,122,84,206,371,762,29,3124,0.000%,2.16545,0.55,8.16
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5307,102,71,167,247,531,23,3299,0.000%,2.16554,2.77,7.87
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5307,94,69,162,219,500,23,3180,0.000%,2.16563,1.95,7.87
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5307,175,56,289,513,2594,22,6265,0.000%,2.16564,1.13,4.42
/API/MessageBoard/v1/messages,5307,139,85,223,378,814,30,30193,4.014%,2.16562,1.25,7.81
TOTAL,206144,1067,88,881,2293,27902,19,566466,0.366%,83.81265,1378.79,198.48
