Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,100,260,28,319,2308,2310,22,2310,0.000%,.30934,0.17,0.10
/Home/Login,100,61,27,49,309,426,20,466,0.000%,.31154,0.11,0.14
/v2/,100,31,28,48,50,59,20,61,0.000%,.31181,0.63,0.14
/v2/assets/config.json,100,29,28,39,47,66,22,70,0.000%,.31183,0.26,0.13
/V2/assets/dictionary/dictionary.json,100,33,27,52,64,118,21,128,0.000%,.31185,2.37,0.14
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,100,38,33,55,69,103,25,109,0.000%,.31185,7.22,0.16
/cuid/api/token/provider,100,362,353,450,537,630,268,633,0.000%,.31161,0.24,0.19
/cuid/api/token,100,971,699,2400,2494,2743,507,3822,0.000%,.31156,0.49,0.20
/Home/LoginWidget,100,23388,23483,28355,29390,31529,13360,34724,0.000%,.30149,0.88,0.47
/CUDL,100,117,107,144,163,256,81,376,0.000%,.32319,0.85,1.00
/CUDL/styles/lending,100,85,81,113,124,158,57,177,0.000%,.32310,16.65,0.99
/css,100,351,331,442,464,550,294,555,0.000%,.32275,0.53,0.11
/CUDL/scripts/Libraries,100,160,135,222,278,505,95,998,0.000%,.32296,90.44,0.98
/CUDL/scripts/CUDLApp,100,74,67,110,119,200,43,222,0.000%,.32294,33.73,0.98
/CUDL/CudlWebConfig/GetCudlWebConfig,100,5429,5087,7827,8639,10343,2354,10797,0.000%,.32058,0.89,0.96
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,100,106,103,128,145,172,77,175,0.000%,.32473,0.15,1.18
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,100,43,36,62,68,80,24,113,0.000%,.32479,0.15,1.18
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,100,105,98,132,154,171,78,172,0.000%,.32471,0.09,0.70
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,100,33,31,43,48,63,22,66,0.000%,.32481,0.15,0.67
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,100,32,31,39,49,62,22,70,0.000%,.32481,0.15,0.68
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,100,44,35,65,67,109,25,188,0.000%,.32480,0.53,1.17
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,100,44,39,64,66,93,25,94,0.000%,.32483,0.29,1.17
/DealerPortal/DealerPortalAPI/v1/User,200,57,48,68,74,170,39,924,0.000%,.64947,0.53,1.33
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,100,45,46,67,72,81,25,114,0.000%,.32510,0.21,1.17
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,100,57,35,59,61,698,25,913,0.000%,.32507,0.17,1.17
/DealerPortal/Lending/v1/SellerFilters/,100,81,75,103,110,134,64,223,0.000%,.32499,17.27,0.66
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,100,35,33,45,54,58,25,97,0.000%,.32503,0.11,0.67
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,100,55,48,65,74,173,25,893,0.000%,.32500,0.42,1.17
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,100,45,45,62,76,102,25,103,0.000%,.32501,0.29,1.18
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,100,45,46,64,70,78,24,79,0.000%,.32498,0.53,1.17
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,100,43,38,63,67,87,26,96,0.000%,.32495,0.21,1.18
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,100,43,40,59,65,85,23,93,0.000%,.32492,0.31,1.18
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},100,61,48,69,90,436,31,680,0.000%,.32489,0.08,1.23
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,100,51,39,67,72,83,24,742,0.000%,.32487,0.42,1.19
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,100,42,37,63,68,72,25,75,0.000%,.32487,0.29,1.19
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,100,35,33,44,52,86,24,127,0.000%,.32486,0.17,0.67
/API/MessageBoard/v1/messages,100,66,49,86,94,449,32,467,0.000%,.32455,0.19,1.17
TOTAL,3800,858,50,374,2730,24739,20,34724,0.000%,11.06765,161.02,26.78
