Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,2891,156,134,160,196,841,111,5077,0.000%,.26773,0.15,0.09
/Home/Login,2891,31,25,36,44,101,19,1031,0.000%,.26775,0.10,0.12
/v2/,2891,28,26,36,42,73,19,251,0.000%,.26775,0.53,0.12
/v2/assets/config.json,2891,28,27,33,38,63,19,251,0.000%,.26775,0.22,0.11
/V2/assets/dictionary/dictionary.json,2891,28,26,34,39,63,19,486,0.000%,.26775,1.93,0.12
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,2891,35,32,45,62,96,23,502,0.000%,.26775,6.20,0.13
/cuid/api/token/provider,2891,408,357,409,473,2047,316,5604,0.000%,.26773,0.21,0.16
/cuid/api/token,2891,1218,1055,1551,1785,5481,626,13292,0.000%,.26772,0.42,0.17
/Home/LoginWidget,2890,26858,25948,34373,37657,47586,11867,111661,0.000%,.26729,0.78,0.41
/CUDL,2881,127,101,128,159,684,73,21065,0.035%,.26769,0.77,0.82
/CUDL/styles/lending,2880,96,84,121,152,353,40,2699,0.000%,.26759,15.70,0.81
/css,2880,330,319,357,392,541,156,1352,0.000%,.26759,0.43,0.09
/CUDL/scripts/Libraries,2880,158,119,221,495,776,88,1399,0.000%,.26760,80.70,0.81
/CUDL/scripts/CUDLApp,2880,114,92,156,254,532,62,3195,0.000%,.26760,58.82,0.81
/CUDL/CudlWebConfig/GetCudlWebConfig,2880,6517,6223,9832,11000,13712,2538,27107,0.000%,.26749,0.80,0.80
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,2880,103,96,119,134,232,68,1180,0.000%,.26770,0.13,0.97
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,2880,39,33,54,61,101,23,794,0.000%,.26770,0.13,0.97
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,2880,147,139,161,181,337,110,1004,0.000%,.26770,0.08,0.57
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,2880,33,30,36,41,80,22,1477,0.000%,.26770,0.13,0.55
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,2880,33,30,36,40,76,21,1005,0.000%,.26770,0.13,0.55
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,2880,44,35,58,63,129,24,723,0.000%,.26770,0.48,0.96
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,2880,42,35,57,62,101,24,974,0.000%,.26770,0.27,0.96
/DealerPortal/DealerPortalAPI/v1/User,5760,72,49,65,77,618,36,11532,0.000%,.53540,0.44,1.09
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,2880,43,35,58,65,125,24,583,0.000%,.26770,0.19,0.96
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,2880,40,34,55,61,93,22,599,0.000%,.26770,0.16,0.96
/DealerPortal/Lending/v1/SellerFilters/,2880,83,75,100,137,228,45,1342,0.000%,.26770,14.29,0.54
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,2880,38,33,46,56,116,26,1201,0.000%,.26770,0.09,0.55
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,2880,42,34,58,63,115,23,971,0.000%,.26770,0.39,0.96
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,2880,42,33,57,62,98,23,1143,0.000%,.26770,0.27,0.96
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,2880,41,35,55,60,102,24,1051,0.000%,.26770,0.49,0.96
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,2880,41,34,57,62,99,22,447,0.000%,.26770,0.20,0.97
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,2880,41,34,55,60,97,23,834,0.000%,.26770,0.30,0.97
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},2880,65,44,70,101,658,28,2226,0.000%,.26770,0.07,1.01
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,2880,44,37,58,66,104,23,1088,0.000%,.26770,0.38,0.97
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,2880,42,36,55,61,106,23,856,0.000%,.26770,0.27,0.97
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,2880,41,32,39,51,242,23,1615,0.000%,.26770,0.14,0.55
/API/MessageBoard/v1/messages,2880,76,48,77,141,770,31,3001,0.104%,.26770,0.23,0.97
TOTAL,109539,986,48,362,3504,27957,19,111661,0.004%,10.12516,186.03,24.38
