Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,100,244,140,930,934,936,118,1088,0.000%,.25721,0.15,0.09
/Home/Login,100,27,25,34,38,51,20,116,0.000%,.25782,0.09,0.12
/v2/,100,29,25,47,49,67,20,69,0.000%,.25782,0.51,0.11
/v2/assets/config.json,100,28,27,33,38,68,21,76,0.000%,.25782,0.21,0.11
/V2/assets/dictionary/dictionary.json,100,29,28,33,36,69,21,70,0.000%,.25782,1.86,0.12
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,100,37,32,48,68,106,24,140,0.000%,.25782,5.97,0.13
/cuid/api/token/provider,100,402,367,479,544,810,329,1369,0.000%,.25760,0.20,0.15
/cuid/api/token,100,1645,1374,2842,4258,4550,672,4644,0.000%,.25713,0.40,0.16
/Home/LoginWidget,100,22338,22696,30441,32156,34262,8887,35818,0.000%,.25121,0.73,0.39
/CUDL,100,107,101,125,155,199,81,269,0.000%,.25912,0.68,0.80
/CUDL/styles/lending,100,83,80,104,116,153,58,207,0.000%,.25915,13.35,0.79
/css,100,332,322,364,396,475,296,534,0.000%,.25899,0.42,0.09
/CUDL/scripts/Libraries,100,140,118,169,230,366,94,941,0.000%,.25916,72.57,0.78
/CUDL/scripts/CUDLApp,100,110,91,128,164,484,68,970,0.000%,.25918,48.14,0.78
/CUDL/CudlWebConfig/GetCudlWebConfig,100,12255,12045,18457,20477,21773,3218,22263,0.000%,.25661,0.71,0.77
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,100,104,100,120,140,200,76,283,0.000%,.26527,0.12,0.96
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,100,40,34,53,55,89,25,116,0.000%,.26533,0.12,0.96
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,100,148,140,177,212,271,121,282,0.000%,.26529,0.08,0.57
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,100,34,30,40,59,114,22,132,0.000%,.26543,0.13,0.55
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,100,32,31,40,50,68,22,70,0.000%,.26542,0.13,0.55
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,100,39,34,58,60,66,27,68,0.000%,.26542,0.43,0.96
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,100,48,33,59,69,130,25,843,0.000%,.26542,0.24,0.96
/DealerPortal/DealerPortalAPI/v1/User,200,57,47,66,70,147,35,1046,0.000%,.53073,0.44,1.08
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,100,43,33,57,62,103,25,500,0.000%,.26587,0.17,0.96
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,100,38,33,55,59,72,26,109,0.000%,.26586,0.14,0.96
/DealerPortal/Lending/v1/SellerFilters/,100,89,86,107,132,203,57,211,0.000%,.26582,14.24,0.54
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,100,34,32,41,55,67,26,112,0.000%,.26595,0.09,0.55
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,100,39,33,55,59,72,27,100,0.000%,.26595,0.35,0.96
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,100,37,32,55,62,70,24,95,0.000%,.26597,0.24,0.96
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,100,40,34,55,59,112,25,136,0.000%,.26596,0.43,0.96
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,100,40,33,55,68,78,27,114,0.000%,.26597,0.18,0.96
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,100,38,34,52,57,92,21,93,0.000%,.26596,0.26,0.96
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},100,65,41,67,183,341,31,702,0.000%,.26596,0.07,1.00
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,100,40,34,55,60,139,24,204,0.000%,.26606,0.34,0.97
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,100,40,35,56,61,85,23,136,0.000%,.26606,0.24,0.97
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,100,36,31,43,69,97,23,211,0.000%,.26610,0.14,0.54
/API/MessageBoard/v1/messages,100,61,42,68,85,642,31,728,0.000%,.26610,0.16,0.96
TOTAL,3800,1026,46,369,6539,24528,20,35818,0.000%,9.27205,154.73,22.36
