Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,267,216,393,487,1049,111,4372,0.000%,3.05089,1.72,1.02
/Home/Login,6000,71,48,89,108,940,22,4527,0.000%,3.05201,7.49,1.36
/Account/Login,6000,20524,1725,95087,100347,103000,432,105797,5.217%,3.05321,8.48,1.99
/CUDL,5687,361,97,492,1060,5058,24,46205,0.000%,2.89463,8.19,6.01
/CUDL/styles/lending,5687,239,106,396,674,2154,31,16579,0.000%,2.89464,168.86,5.93
/css,5687,459,398,634,737,1033,203,15496,0.000%,2.89429,4.70,0.97
/CUDL/scripts/Libraries,5687,681,287,1307,2052,3830,79,41760,0.000%,2.89481,876.41,5.89
/CUDL/scripts/CUDLApp,5687,463,198,933,1606,4087,60,20927,0.000%,2.89487,640.37,5.89
/CUDL/CudlWebConfig/GetCudlWebConfig,5687,1194,567,2930,4320,7919,169,14453,0.000%,2.89471,8.84,5.80
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5687,196,86,307,509,1952,21,21018,0.018%,2.89501,1.35,7.43
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5686,100,52,129,265,910,21,13923,0.000%,2.89450,1.35,7.43
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5686,266,213,416,508,886,109,3814,0.000%,2.89434,0.83,2.98
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5686,55,41,82,104,375,20,1542,0.000%,2.89451,1.37,2.79
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5686,54,41,82,99,352,20,1864,0.000%,2.89450,1.37,2.81
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5686,125,59,216,396,1326,22,9808,0.000%,2.89450,5.10,7.39
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5686,112,51,133,258,966,21,14674,0.000%,2.89450,2.82,7.39
/DealerPortal/DealerPortalAPI/v1/User,11372,230,71,519,1108,2566,33,11210,0.000%,5.78885,4.77,5.40
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5686,318,63,227,342,792,20,566216,0.035%,2.89451,2.00,7.38
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5684,91,56,132,237,626,22,5420,0.000%,2.89356,1.62,7.38
/DealerPortal/Lending/v1/SellerFilters/,5684,169,110,333,489,1000,36,3539,0.000%,2.89353,155.42,2.66
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5684,68,47,99,164,407,21,3145,0.000%,2.89361,0.97,2.78
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5684,207,58,190,307,814,22,566022,0.018%,2.89362,4.12,7.38
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5683,88,53,126,219,626,22,7655,0.000%,2.89311,2.80,7.40
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5683,91,53,123,219,621,21,15193,0.000%,2.89311,5.13,7.37
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5683,86,52,117,211,557,21,15201,0.000%,2.89311,2.06,7.41
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5683,87,52,116,229,610,20,13923,0.000%,2.89301,3.09,7.42
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5683,128,87,225,405,718,26,2279,0.000%,2.89301,0.73,7.87
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5683,94,53,143,263,641,22,13012,0.000%,2.89335,4.01,7.49
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5683,84,51,121,214,583,20,8755,0.000%,2.89333,2.83,7.50
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5683,203,63,457,821,1909,20,5930,0.000%,2.89334,1.50,2.73
/API/MessageBoard/v1/messages,5683,159,70,264,517,1189,26,35965,7.795%,2.89331,1.63,7.41
TOTAL,182866,891,76,534,1078,5927,20,566216,0.416%,92.88177,1927.77,168.26
