Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,238,165,309,456,1908,98,6042,0.000%,2.75731,1.56,0.92
/Home/Login,6000,74,39,77,102,972,22,7096,0.000%,2.75815,6.60,1.23
/Account/Login,6000,25062,3568,95572,100521,104463,506,111551,3.683%,2.75729,7.64,1.80
/CUDL,5779,241,94,218,642,2896,23,23816,0.000%,2.65708,7.03,5.52
/CUDL/styles/lending,5779,136,77,218,401,1152,29,6014,0.000%,2.65706,136.36,5.44
/css,5779,364,342,433,491,701,157,1438,0.000%,2.65673,4.31,0.89
/CUDL/scripts/Libraries,5779,353,172,770,1234,2654,82,4440,0.000%,2.65698,744.07,5.41
/CUDL/scripts/CUDLApp,5779,252,134,470,885,2050,58,4733,0.000%,2.65711,494.74,5.40
/CUDL/CudlWebConfig/GetCudlWebConfig,5779,4682,653,17595,23209,35186,184,53629,0.000%,2.65695,7.51,5.32
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5779,122,83,181,280,1304,22,4964,0.000%,2.65718,1.25,6.82
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5779,62,36,87,124,530,21,4491,0.000%,2.65717,1.25,6.82
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5779,187,161,258,330,505,112,4024,0.000%,2.65704,0.76,2.73
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5779,37,31,57,71,120,18,410,0.000%,2.65719,1.26,2.56
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5779,36,31,56,70,105,20,402,0.000%,2.65721,1.26,2.58
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5779,75,38,110,170,860,21,4722,0.000%,2.65722,4.31,6.78
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5779,53,35,77,106,431,22,3529,0.000%,2.65722,2.38,6.78
/DealerPortal/DealerPortalAPI/v1/User,11558,279,63,248,1455,5906,35,10048,0.000%,5.31431,4.37,4.96
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5779,72,40,138,195,468,22,3234,0.000%,2.65720,1.73,6.78
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5779,54,37,88,117,312,22,3094,0.000%,2.65718,1.39,6.77
/DealerPortal/Lending/v1/SellerFilters/,5779,130,81,249,383,766,38,3416,0.000%,2.65718,142.73,2.44
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5779,44,35,68,94,197,22,583,0.000%,2.65724,0.89,2.55
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5779,63,38,104,144,517,21,4473,0.000%,2.65724,3.46,6.77
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5779,51,36,83,108,286,21,1556,0.000%,2.65725,2.40,6.79
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5779,52,37,83,105,253,22,2857,0.000%,2.65725,4.34,6.77
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5779,50,36,82,104,209,22,2075,0.000%,2.65725,1.76,6.80
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5779,52,36,84,107,342,21,2484,0.000%,2.65724,2.57,6.81
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5779,104,66,182,273,764,26,2614,0.000%,2.65724,0.67,7.23
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5779,53,37,87,115,316,21,1464,0.000%,2.65727,3.40,6.88
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5779,49,36,80,105,239,21,900,0.000%,2.65727,2.39,6.88
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5779,130,35,188,382,2126,21,8907,0.000%,2.65728,1.38,2.51
/API/MessageBoard/v1/messages,5779,94,54,142,216,616,27,30100,8.721%,2.65727,1.49,6.80
TOTAL,185591,1074,57,364,1025,24856,18,111551,0.391%,85.19218,1594.65,154.49
