Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,561,220,397,604,3718,4,38713,5.033%,5.07881,3.37,1.62
/Home/Login,5698,172,53,105,171,2813,22,22572,0.228%,4.82636,11.77,2.15
/Account/Login,5685,9126,2229,28692,71960,86807,70,104258,0.264%,4.81323,13.26,3.14
/CUDL,5670,1010,124,392,1048,40323,4,79348,0.247%,4.80743,12.72,9.96
/CUDL/styles/lending,5656,185,108,297,547,1713,30,31500,0.018%,4.79573,246.07,9.81
/css,5655,419,392,549,613,797,5,1557,0.088%,4.79388,7.79,1.61
/CUDL/scripts/Libraries,5650,482,245,946,1367,2465,24,32518,1.062%,4.79051,1327.41,9.65
/CUDL/scripts/CUDLApp,5590,433,189,636,1031,2093,16,80262,0.018%,4.73926,882.28,9.63
/CUDL/CudlWebConfig/GetCudlWebConfig,5589,1607,817,3914,4953,7715,174,25254,0.000%,4.73825,13.39,9.49
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5589,188,104,264,410,1306,4,31253,0.268%,4.73939,2.25,12.13
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5574,91,52,122,183,681,21,20014,0.000%,4.72668,2.22,12.13
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5574,242,209,349,414,597,114,3956,0.000%,4.72633,1.36,4.86
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5574,47,40,72,85,156,18,724,0.000%,4.72680,2.24,4.55
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5574,46,39,70,83,129,20,672,0.000%,4.72684,2.24,4.58
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5574,110,57,185,261,838,21,30914,0.054%,4.72683,7.67,12.05
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5571,77,51,115,164,568,22,8196,0.000%,4.72425,4.23,12.06
/DealerPortal/DealerPortalAPI/v1/User,11142,179,71,334,844,2138,35,4076,0.000%,9.44811,7.78,8.81
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5571,98,61,179,247,608,21,7715,0.000%,4.72419,3.08,12.05
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5571,82,55,121,172,514,22,20072,0.000%,4.72421,2.47,12.04
/DealerPortal/Lending/v1/SellerFilters/,5571,147,101,268,403,859,38,3376,0.000%,4.72420,253.75,4.34
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5571,55,45,82,106,302,18,1148,0.000%,4.72431,1.58,4.54
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5571,105,55,149,222,598,22,30281,0.000%,4.72433,6.15,12.04
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5571,116,52,108,158,548,22,31254,0.000%,4.72433,4.27,12.07
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5571,84,51,108,156,547,21,7310,0.000%,4.72432,7.71,12.03
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5571,176,51,107,152,453,19,566690,0.018%,4.72434,3.12,12.09
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5570,83,51,104,146,467,22,30197,0.018%,4.72352,4.56,12.11
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5569,204,94,229,428,2252,27,190291,0.018%,4.72256,1.20,12.85
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5568,98,54,133,207,538,18,30374,0.036%,4.72275,6.04,12.22
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5566,81,52,110,164,472,6,17495,0.054%,4.72107,4.25,12.22
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5563,161,54,308,599,1718,21,3903,0.000%,4.71850,2.45,4.46
/API/MessageBoard/v1/messages,5563,122,74,209,352,924,26,4916,8.161%,4.71849,2.66,12.08
TOTAL,179332,529,75,471,1145,5128,4,566690,0.497%,151.49009,2840.86,274.32
