Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,257,185,375,504,1519,108,8686,0.000%,2.64919,1.50,0.89
/Home/Login,6000,48,34,69,86,337,18,2865,0.000%,2.65011,0.98,1.18
/v2/,6000,41,34,64,78,118,17,1365,0.000%,2.65012,5.29,1.16
/v2/assets/config.json,6000,41,32,63,76,115,19,672,0.000%,2.65012,2.19,1.13
/V2/assets/dictionary/dictionary.json,6000,42,35,64,76,114,19,632,0.000%,2.65013,19.96,1.19
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,6000,48,38,73,96,247,22,713,0.000%,2.65013,61.32,1.32
/cuid/api/token/provider,6000,2222,771,5463,9338,26426,282,39391,0.000%,2.64978,2.19,1.57
/cuid/api/token,6000,16800,13519,37665,42625,49427,895,93203,21.000%,2.64961,3.76,1.65
/Home/LoginWidget,4740,8357,3375,10778,48253,101174,697,110115,0.865%,2.09393,5.43,3.23
/CUDL,4699,357,136,933,1410,3013,25,19095,0.000%,2.07705,5.49,6.38
/CUDL/styles/lending,4699,229,113,559,863,1831,31,4418,0.000%,2.08679,107.09,6.34
/css,4699,408,367,543,626,818,224,15333,0.000%,2.08664,3.38,0.70
/CUDL/scripts/Libraries,4699,534,304,1239,1728,3085,83,5713,0.000%,2.08695,584.43,6.32
/CUDL/scripts/CUDLApp,4699,429,238,975,1408,2827,60,4805,0.000%,2.08669,388.53,6.32
/CUDL/CudlWebConfig/GetCudlWebConfig,4699,1047,488,2771,3986,5743,168,7949,0.000%,2.08660,5.74,6.25
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,4699,356,120,536,845,1865,22,566234,0.021%,2.08717,0.98,7.54
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,4698,278,81,351,550,1422,22,566170,0.021%,2.08674,0.98,7.53
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,4697,287,228,473,644,1108,110,3866,0.000%,2.08620,0.60,4.44
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,4697,74,46,102,145,584,21,2383,0.000%,2.08644,0.99,4.30
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,4697,70,45,99,135,545,21,2401,0.000%,2.08643,0.99,4.32
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,4697,416,97,417,588,1251,23,565992,0.043%,2.08644,3.39,7.50
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,4695,380,81,287,493,1015,22,566256,0.043%,2.08557,1.87,7.50
/DealerPortal/DealerPortalAPI/v1/User,9386,200,71,356,779,2922,34,6980,0.000%,4.16928,3.43,8.47
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,4693,158,97,367,512,1057,22,3602,0.000%,2.08468,1.36,7.50
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,4693,133,82,284,455,702,22,4728,0.000%,2.08470,1.09,7.49
/DealerPortal/Lending/v1/SellerFilters/,4693,193,112,414,604,1168,35,2619,0.000%,2.08470,111.98,4.20
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,4693,210,51,164,368,628,24,566317,0.021%,2.08484,0.70,4.29
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,4692,145,89,351,494,732,23,1869,0.000%,2.08440,2.71,7.49
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,4692,367,78,253,481,714,23,566302,0.043%,2.08441,1.88,7.50
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,4690,363,77,240,442,674,23,566370,0.043%,2.08352,3.40,7.48
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,4688,121,75,239,452,691,23,2348,0.000%,2.08264,1.38,7.51
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,4688,238,74,236,425,631,23,566289,0.021%,2.08264,2.01,7.52
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},4687,272,87,394,521,1101,27,566305,0.021%,2.08221,0.53,7.84
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,4686,116,73,220,422,618,22,3443,0.000%,2.08275,2.66,7.57
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,4686,231,70,202,415,584,22,566875,0.021%,2.08275,1.87,7.57
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,4685,169,90,304,554,1414,20,6903,0.000%,2.08231,1.08,4.25
/API/MessageBoard/v1/messages,4685,150,85,360,539,1074,28,2345,4.610%,2.08222,1.19,7.51
TOTAL,188851,1031,93,849,2591,27718,17,566875,0.811%,83.22467,1334.58,191.54
