Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,257,181,359,487,1686,112,6471,0.000%,2.30277,1.30,0.77
/Home/Login,6000,50,35,67,83,293,18,3055,0.000%,2.30351,0.85,1.03
/v2/,6000,42,34,65,77,127,17,1119,0.000%,2.30351,4.60,1.01
/v2/assets/config.json,6000,41,33,63,76,130,19,386,0.000%,2.30351,1.91,0.99
/V2/assets/dictionary/dictionary.json,6000,43,35,64,76,124,20,1296,0.000%,2.30351,17.35,1.03
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,6000,49,38,75,99,245,20,1102,0.000%,2.30351,53.30,1.15
/cuid/api/token/provider,6000,2102,656,4980,7831,20902,267,31081,0.000%,2.30324,1.91,1.37
/cuid/api/token,6000,15528,12547,36956,41629,55567,929,78026,16.783%,2.30275,3.35,1.43
/Home/LoginWidget,4993,11045,5033,16012,72979,101073,723,108215,0.421%,1.91658,4.98,2.96
/CUDL,4972,387,139,1165,2002,3126,25,7943,0.000%,1.90904,5.05,5.86
/CUDL/styles/lending,4972,219,109,524,758,1696,32,3956,0.000%,1.90903,97.97,5.80
/css,4972,397,359,529,634,798,214,7327,0.000%,1.90885,3.10,0.64
/CUDL/scripts/Libraries,4972,571,301,1424,1951,3051,82,6244,0.000%,1.90904,534.61,5.78
/CUDL/scripts/CUDLApp,4972,460,224,1143,1622,2908,59,8285,0.000%,1.90898,355.45,5.78
/CUDL/CudlWebConfig/GetCudlWebConfig,4972,1295,584,3483,4758,7497,182,11822,0.000%,1.90891,5.25,5.72
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,4972,270,120,621,1062,2373,22,5920,0.000%,1.90908,0.90,6.89
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,4972,275,76,320,534,1589,23,567221,0.020%,1.90910,0.90,6.89
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,4971,264,201,458,549,936,114,3682,0.000%,1.90864,0.55,4.06
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,4971,64,40,97,126,545,20,2280,0.000%,1.90872,0.91,3.94
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,4971,63,40,96,124,539,21,2334,0.000%,1.90872,0.91,3.95
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,4971,183,87,435,646,1610,23,4771,0.000%,1.90873,3.10,6.87
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,4971,245,73,247,472,1118,22,566511,0.020%,1.90876,1.71,6.87
/DealerPortal/DealerPortalAPI/v1/User,9940,197,74,219,590,3212,36,8668,0.000%,3.81666,3.14,7.75
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,4970,149,87,322,500,1014,23,4817,0.000%,1.90838,1.24,6.86
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,4970,125,75,229,425,960,23,2855,0.000%,1.90838,1.00,6.86
/DealerPortal/Lending/v1/SellerFilters/,4970,175,102,364,558,1130,38,2577,0.000%,1.90839,102.51,3.85
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,4970,192,47,129,235,566,23,566256,0.020%,1.90840,0.64,3.93
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,4969,482,83,291,495,924,23,566600,0.060%,1.90801,2.48,6.86
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,4966,235,72,230,458,716,23,566242,0.020%,1.90693,1.72,6.87
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,4965,116,70,216,418,697,23,3222,0.000%,1.90652,3.11,6.85
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,4965,110,71,200,406,615,21,2338,0.000%,1.90650,1.26,6.87
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,4965,109,68,196,417,594,22,3270,0.000%,1.90650,1.84,6.88
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},4965,138,83,288,485,968,27,4777,0.000%,1.90651,0.48,7.18
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,4965,337,69,191,417,638,22,566550,0.040%,1.90651,2.44,6.93
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,4963,215,67,172,375,583,22,566202,0.020%,1.90574,1.71,6.93
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,4962,148,58,246,467,1539,22,5331,0.000%,1.90537,0.99,3.89
/API/MessageBoard/v1/messages,4962,147,87,249,479,834,27,30186,6.751%,1.90536,1.08,6.87
TOTAL,197091,1027,89,870,2752,24055,17,567221,0.697%,75.52271,1223.14,175.80
