Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,241,173,331,447,1153,110,16785,0.000%,2.37356,1.34,0.80
/Home/Login,6000,46,33,64,82,328,18,4490,0.000%,2.37424,0.87,1.06
/v2/,6000,40,32,59,70,107,19,1146,0.000%,2.37426,4.74,1.04
/v2/assets/config.json,6000,39,31,58,71,127,19,613,0.000%,2.37427,1.96,1.02
/V2/assets/dictionary/dictionary.json,6000,40,33,59,71,107,17,1133,0.000%,2.37429,17.88,1.06
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,6000,46,37,66,89,180,22,445,0.000%,2.37430,54.94,1.18
/cuid/api/token/provider,6000,2601,745,5935,9597,41006,286,51215,0.017%,2.37403,1.96,1.41
/cuid/api/token,5999,18247,14563,39411,45064,79305,899,90795,21.587%,2.37307,3.35,1.48
/Home/LoginWidget,4704,11459,5204,24249,69579,95482,724,103407,0.000%,1.86016,4.84,2.87
/CUDL,4704,535,144,1422,2063,4242,24,32075,0.000%,1.86072,4.92,5.71
/CUDL/styles/lending,4704,261,111,638,1080,2048,32,4290,0.000%,1.86075,95.49,5.66
/css,4704,389,351,500,636,872,205,1893,0.000%,1.86055,3.02,0.63
/CUDL/scripts/Libraries,4704,671,368,1638,2298,3592,84,7236,0.000%,1.86077,521.10,5.64
/CUDL/scripts/CUDLApp,4704,556,264,1344,1985,3663,58,6895,0.000%,1.86077,346.47,5.63
/CUDL/CudlWebConfig/GetCudlWebConfig,4704,1162,579,2895,4227,6622,176,9683,0.000%,1.86066,5.12,5.57
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,4704,332,135,851,1353,2859,22,5167,0.000%,1.86145,0.87,6.72
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,4704,195,87,478,772,1530,22,4067,0.000%,1.86147,0.87,6.72
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,4704,288,213,511,648,1151,113,3693,0.000%,1.86141,0.53,3.96
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,4704,73,43,106,160,615,20,1309,0.000%,1.86151,0.88,3.84
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,4704,75,43,106,174,624,20,2288,0.000%,1.86150,0.88,3.85
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,4704,343,108,532,786,1806,22,565852,0.021%,1.86150,3.02,6.69
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,4703,165,85,412,541,1210,22,3759,0.000%,1.86118,1.67,6.70
/DealerPortal/DealerPortalAPI/v1/User,9406,226,73,440,726,3305,34,8605,0.000%,3.72223,3.06,7.56
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,4703,661,100,433,544,1301,22,566936,0.085%,1.86115,1.22,6.69
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,4699,281,84,403,517,1242,22,566267,0.021%,1.85959,0.97,6.68
/DealerPortal/Lending/v1/SellerFilters/,4698,194,116,422,630,1193,37,2618,0.000%,1.85917,99.86,3.75
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,4698,90,50,162,443,650,19,4710,0.000%,1.85921,0.62,3.83
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,4698,165,92,420,534,1125,23,4554,0.000%,1.85920,2.42,6.68
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,4698,260,77,383,505,998,23,566355,0.021%,1.85922,1.68,6.70
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,4697,135,76,380,475,932,22,2882,0.000%,1.85882,3.03,6.68
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,4697,126,74,271,472,719,22,4884,0.000%,1.85883,1.23,6.70
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,4697,246,73,261,464,1012,23,566522,0.021%,1.85883,1.80,6.71
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},4696,281,88,425,543,1048,27,566303,0.021%,1.85843,0.47,7.00
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,4695,122,72,269,450,757,23,3537,0.000%,1.85819,2.38,6.75
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,4695,240,68,225,449,841,22,566195,0.021%,1.85819,1.67,6.76
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,4694,275,88,262,518,1564,22,566276,0.021%,1.85779,0.97,3.80
/API/MessageBoard/v1/messages,4693,279,83,365,511,987,30,566012,6.883%,1.85739,1.05,6.70
TOTAL,189018,1181,94,998,3264,29052,17,566936,0.862%,74.61500,1196.61,171.80
