Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,289,234,389,485,1549,137,7527,0.000%,3.19223,1.80,1.07
/Home/Login,6000,83,55,98,123,797,29,6049,0.000%,3.19437,9.99,1.43
/Account/Login,6000,21020,2373,92790,100323,101914,498,108579,3.617%,3.19359,8.85,2.09
/CUDL,5783,324,138,475,1097,2220,30,31665,0.000%,3.07926,8.39,6.39
/CUDL/styles/lending,5783,202,121,406,736,1317,38,3236,0.000%,3.07937,167.10,6.30
/css,5783,445,404,552,622,912,210,15416,0.000%,3.07895,5.00,1.03
/CUDL/scripts/Libraries,5783,538,292,1184,1781,2807,97,19033,0.017%,3.07948,888.83,6.27
/CUDL/scripts/CUDLApp,5782,407,214,871,1356,2855,69,19090,0.000%,3.07904,613.61,6.26
/CUDL/CudlWebConfig/GetCudlWebConfig,5782,1474,886,3237,4441,8944,209,15549,0.000%,3.07848,9.00,6.16
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5782,208,120,342,614,2119,27,5908,0.000%,3.07883,1.44,7.90
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5782,111,59,145,280,1209,27,6097,0.000%,3.07883,1.44,7.90
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5782,266,225,395,460,684,139,3654,0.000%,3.07862,0.88,3.17
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5782,52,44,80,92,131,26,456,0.000%,3.07893,1.46,2.97
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5782,52,43,80,94,135,26,843,0.000%,3.07892,1.46,2.99
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5782,138,66,220,379,1324,26,19057,0.017%,3.07880,5.19,7.85
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5781,96,57,134,240,814,27,3769,0.000%,3.07826,2.87,7.86
/DealerPortal/DealerPortalAPI/v1/User,11562,265,78,460,1299,3854,39,9408,0.000%,6.15633,5.07,5.74
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5781,120,69,210,307,906,27,8313,0.000%,3.07827,2.07,7.85
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5781,103,61,129,186,614,27,8630,0.000%,3.07826,1.66,7.85
/DealerPortal/Lending/v1/SellerFilters/,5781,178,119,322,473,1002,41,19213,0.017%,3.07824,165.32,2.83
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5780,65,51,92,120,327,30,3357,0.000%,3.07780,1.03,2.96
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5780,108,61,178,266,725,27,8604,0.000%,3.07782,4.17,7.85
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5780,91,58,125,197,540,27,8902,0.000%,3.07785,2.87,7.87
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5780,89,58,122,203,569,28,8465,0.000%,3.07785,5.23,7.84
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5780,80,58,124,188,503,27,5461,0.000%,3.07791,2.11,7.88
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5780,77,57,119,178,483,28,1778,0.000%,3.07800,3.12,7.89
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5780,140,102,233,336,777,34,3403,0.000%,3.07800,0.78,8.38
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5780,93,58,131,213,523,27,8630,0.000%,3.07801,4.10,7.97
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5780,83,56,115,183,530,27,7255,0.000%,3.07802,2.89,7.97
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5780,218,63,354,797,2449,27,9236,0.000%,3.07803,1.60,2.91
/API/MessageBoard/v1/messages,5780,117,76,218,313,730,30,3306,4.792%,3.07802,1.76,7.88
TOTAL,185654,891,84,525,1262,5801,26,108579,0.268%,98.63361,1926.65,178.88
