Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,215,174,323,401,641,112,3406,0.000%,2.20775,1.25,0.74
/Home/Login,6000,46,33,66,85,296,18,3381,0.000%,2.20837,0.81,0.99
/v2/,6000,41,32,61,71,125,18,1227,0.000%,2.20838,4.41,0.97
/v2/assets/config.json,6000,39,31,60,72,124,17,383,0.000%,2.20838,1.83,0.94
/V2/assets/dictionary/dictionary.json,6000,40,33,61,72,124,18,410,0.000%,2.20839,16.63,0.99
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,6000,45,36,69,88,174,21,734,0.000%,2.20839,51.10,1.10
/cuid/api/token/provider,6000,2968,697,6446,13112,54681,266,71972,0.000%,2.20816,1.82,1.31
/cuid/api/token,6000,15927,13394,37206,43808,49105,900,90650,16.050%,2.20846,3.23,1.37
/Home/LoginWidget,5037,16545,5111,68109,85620,101558,724,106396,0.218%,1.85446,4.82,2.86
/CUDL,5026,371,124,1002,1960,3245,22,6781,0.000%,1.85096,4.89,5.68
/CUDL/styles/lending,5026,211,97,430,752,2176,31,4829,0.000%,1.85100,94.99,5.63
/css,5026,382,347,505,594,790,182,1829,0.000%,1.85085,3.00,0.62
/CUDL/scripts/Libraries,5026,578,291,1434,1981,3621,82,6190,0.000%,1.85106,518.38,5.61
/CUDL/scripts/CUDLApp,5026,474,214,1061,1698,4141,60,6409,0.000%,1.85112,344.67,5.60
/CUDL/CudlWebConfig/GetCudlWebConfig,5026,1125,524,2858,4307,6520,174,9059,0.000%,1.85104,5.09,5.54
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,5026,485,108,570,1081,2516,21,566347,0.040%,1.85118,0.87,6.68
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,5024,156,72,335,534,1311,22,6370,0.000%,1.85045,0.87,6.68
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,5024,264,191,443,582,1246,110,3526,0.000%,1.85048,0.53,3.94
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,5024,64,39,91,127,530,20,2717,0.000%,1.85065,0.88,3.82
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,5024,66,39,89,129,564,19,4769,0.000%,1.85065,0.88,3.83
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,5024,170,87,386,570,1324,23,5795,0.000%,1.85064,3.00,6.66
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,5024,130,70,267,481,1130,22,3518,0.000%,1.85065,1.66,6.66
/DealerPortal/DealerPortalAPI/v1/User,10048,175,66,214,612,2340,33,8855,0.000%,3.70125,3.05,7.52
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,5024,477,82,288,474,1084,22,566441,0.060%,1.85067,1.21,6.65
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,5021,119,71,231,425,802,20,2545,0.000%,1.84956,0.97,6.65
/DealerPortal/Lending/v1/SellerFilters/,5021,169,96,346,551,1151,35,3020,0.000%,1.84956,99.35,3.73
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,5021,82,46,117,213,629,21,3210,0.000%,1.84962,0.62,3.81
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,5021,239,76,253,462,740,22,566156,0.020%,1.84962,2.41,6.65
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,5020,111,69,204,431,709,23,1872,0.000%,1.84929,1.67,6.66
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,5020,106,67,183,397,695,23,2013,0.000%,1.84928,3.02,6.64
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,5020,216,66,183,395,599,22,566271,0.020%,1.84925,1.22,6.67
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,5019,100,64,173,391,556,23,2335,0.000%,1.84888,1.79,6.67
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},5019,121,74,213,469,786,26,3132,0.000%,1.84888,0.47,6.96
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,5019,208,63,161,353,541,22,565892,0.020%,1.84897,2.36,6.72
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,5018,208,62,157,369,542,22,566213,0.020%,1.84860,1.66,6.72
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,5017,125,50,227,410,1112,22,7954,0.000%,1.84823,0.96,3.78
/API/MessageBoard/v1/messages,5017,173,81,281,505,1051,24,30042,9.587%,1.84823,1.03,6.66
TOTAL,198688,1187,82,836,2779,31768,17,566441,0.737%,73.00248,1184.60,170.29
