Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,6000,290,230,400,516,1412,137,4158,0.000%,5.60510,3.16,1.88
/Home/Login,6000,76,53,98,128,723,28,3468,0.000%,5.61387,13.62,2.51
/Account/Login,6000,9744,4276,8318,84216,102021,747,109327,0.000%,5.60980,15.46,3.66
/CUDL,6000,406,156,320,576,2112,31,50100,0.000%,5.61411,15.18,11.66
/CUDL/styles/lending,6000,164,117,264,437,973,38,2290,0.000%,5.61456,300.42,11.49
/css,6000,496,448,611,708,1146,286,15761,0.000%,5.61336,9.11,1.89
/CUDL/scripts/Libraries,6000,394,228,759,1074,1927,93,35440,0.000%,5.61543,1607.21,11.43
/CUDL/scripts/CUDLApp,6000,196,116,349,561,1186,41,20189,0.000%,5.61585,606.12,11.42
/CUDL/CudlWebConfig/GetCudlWebConfig,6000,1641,1171,3497,4324,6531,219,15665,0.000%,5.61468,16.28,11.24
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,6000,166,132,260,393,974,27,3750,0.000%,5.61533,2.63,14.41
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,6000,78,54,113,178,540,28,3410,0.000%,5.61535,2.63,14.41
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,6000,291,219,389,503,1782,142,5754,0.000%,5.61452,1.61,5.77
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,6000,60,42,74,91,335,26,4742,0.000%,5.61565,2.67,5.41
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,6000,54,41,73,88,277,24,4853,0.000%,5.61564,2.67,5.45
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,6000,105,56,186,305,1066,28,3287,0.000%,5.61560,9.38,14.33
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,6000,70,51,104,148,410,28,3280,0.000%,5.61551,5.19,14.33
/DealerPortal/DealerPortalAPI/v1/User,12000,200,76,448,968,2003,37,8790,0.000%,11.23029,9.25,10.48
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,6000,98,60,156,225,793,26,3332,0.000%,5.61545,3.75,14.33
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,6000,72,55,110,146,402,27,2463,0.000%,5.61545,3.01,14.31
/DealerPortal/Lending/v1/SellerFilters/,6000,174,112,277,432,1074,43,5815,0.000%,5.61530,301.62,5.16
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,6000,63,47,86,109,338,29,4806,0.000%,5.61562,1.88,5.40
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,6000,91,55,146,227,592,27,28807,0.000%,5.61572,7.55,14.32
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,6000,72,53,104,150,404,27,10349,0.000%,5.61609,5.19,14.36
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,6000,82,53,106,150,591,27,34468,0.000%,5.61606,9.46,14.31
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,6000,77,53,107,150,394,26,34461,0.000%,5.61607,3.83,14.38
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,6000,85,53,102,132,361,27,34472,0.000%,5.61608,5.64,14.40
/API/DealQueue/v1/DealQueue?count=100&startDate={currentUtcTime},6000,123,96,189,252,695,34,3171,0.000%,5.61606,1.42,15.28
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,6000,83,55,118,174,428,27,34541,0.000%,5.61623,7.41,14.54
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,6000,74,54,111,166,417,27,4751,0.000%,5.61627,5.22,14.55
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,6000,201,59,459,960,1848,25,5404,0.000%,5.61629,2.92,5.31
/API/MessageBoard/v1/messages,6000,150,76,203,325,1050,35,35214,12.233%,5.61623,3.10,14.38
TOTAL,192000,502,78,490,1321,5623,24,109327,0.382%,178.83839,2970.41,325.20
