Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,134,384,82,1687,2414,2859,35,3259,0.000%,.44674,0.25,0.15
/Home/Login,134,269,84,988,1208,2828,31,3286,0.000%,.44687,1.07,0.20
/Account/Login,134,3526,1318,12115,14468,17337,812,17366,0.000%,.44522,1.21,0.29
/CUDL,133,248,194,392,595,977,42,3463,0.000%,.46435,1.23,0.94
/CUDL/styles/lending,133,171,132,256,505,799,43,1513,0.000%,.46428,23.92,0.93
/css,133,600,578,767,919,1162,368,1232,0.000%,.46286,0.74,0.16
/CUDL/scripts/Libraries,133,483,362,958,1141,1941,117,2576,0.000%,.46287,129.62,0.92
/CUDL/scripts/CUDLApp,133,227,191,467,509,590,54,714,0.000%,.46239,48.30,0.92
/CUDL/CudlWebConfig/GetCudlWebConfig,133,583,325,1606,2276,2780,225,2815,0.000%,.46070,1.32,0.90
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,133,125,92,247,314,428,34,691,0.000%,.46085,0.22,1.15
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,133,97,75,175,225,358,29,691,0.000%,.46057,0.22,1.15
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,133,312,254,391,452,3259,165,3262,0.000%,.46017,0.13,0.46
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,133,68,62,98,136,233,28,234,0.000%,.46035,0.22,0.43
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,133,65,58,84,93,374,29,377,0.000%,.46030,0.22,0.44
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,133,177,109,304,364,968,37,3556,0.000%,.46020,0.75,1.14
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,133,115,76,254,311,467,32,1039,0.000%,.45997,0.41,1.14
/DealerPortal/DealerPortalAPI/v1/User,266,114,78,117,226,1073,45,1554,0.000%,.91941,0.76,0.84
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,133,121,80,262,300,509,30,764,0.000%,.45970,0.30,1.14
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,133,107,77,234,264,384,29,450,0.000%,.45965,0.24,1.14
/DealerPortal/Lending/v1/SellerFilters/,133,156,126,223,424,761,53,810,0.000%,.45943,22.60,0.41
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,133,78,65,99,142,371,35,374,0.000%,.45932,0.16,0.43
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,133,130,87,267,296,506,33,841,0.000%,.45921,0.60,1.14
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,133,93,70,160,238,302,32,319,0.000%,.45912,0.41,1.14
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,133,92,73,150,253,372,34,408,0.000%,.45900,0.75,1.14
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,133,92,73,149,175,408,35,422,0.000%,.45889,0.30,1.15
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,133,97,78,172,200,365,35,522,0.000%,.45873,0.44,1.15
/API/DealQueue/v1/DealQueue?count=100,133,417,303,916,1085,1319,102,1861,0.000%,.45840,53.52,1.22
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,133,134,81,265,361,711,33,883,0.000%,.45857,0.59,1.16
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,133,106,74,235,275,323,30,330,0.000%,.45863,0.41,1.16
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,133,245,243,351,502,1744,31,1745,0.000%,.45826,0.24,0.42
/API/MessageBoard/v1/messages,133,228,106,439,664,1769,43,2322,0.000%,.45793,0.27,1.14
/API/DMS/v1/DealerDmsRecords/CleanApps,133,225,146,484,553,1338,40,2828,0.000%,.45717,0.09,1.23
/API/DMS/v1/DealerDmsRecords,133,140,90,256,338,1007,37,1619,0.000%,.45709,0.12,1.17
