Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,25,985,490,2855,3006,3044,140,3044,0.000%,6.93289,3.91,2.32
/Home/Login,25,160,41,128,970,986,30,986,0.000%,5.63825,13.47,2.52
/Account/Login,25,3548,3735,5031,5230,5374,1439,5374,0.000%,4.28596,11.61,2.78
/CUDL,25,590,363,1672,1681,1711,99,1711,0.000%,5.86992,15.52,11.93
/CUDL/styles/lending,25,354,111,567,1377,2209,49,2209,0.000%,5.48847,282.81,10.99
/css,25,588,542,640,962,1575,416,1575,0.000%,4.94854,8.00,1.66
/CUDL/scripts/Libraries,25,649,513,1196,1547,1658,122,1658,0.000%,4.81139,1347.40,9.58
/CUDL/scripts/CUDLApp,25,477,273,684,958,4009,51,4009,0.000%,3.98279,416.07,7.92
/CUDL/CudlWebConfig/GetCudlWebConfig,25,464,383,629,981,1469,239,1469,0.000%,3.78730,10.83,7.42
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,168,109,264,565,651,33,651,0.000%,3.89469,1.83,9.74
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,96,53,129,290,564,33,564,0.000%,4.29332,2.02,10.74
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,243,224,313,405,509,163,509,0.000%,4.53063,1.30,4.57
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,43,42,49,59,75,33,75,0.000%,4.65810,2.21,4.39
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,49,42,49,52,253,29,253,0.000%,4.66244,2.21,4.43
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,61,48,80,108,221,35,221,0.000%,4.63564,7.52,11.53
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,65,43,67,182,306,32,306,0.000%,4.47147,4.00,11.13
/DealerPortal/DealerPortalAPI/v1/User,50,68,59,83,99,257,46,257,0.000%,8.85583,7.31,8.09
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,58,48,57,135,256,31,256,0.000%,4.48109,2.92,11.15
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,69,50,103,173,218,32,218,0.000%,4.46987,2.34,11.10
/DealerPortal/Lending/v1/SellerFilters/,25,149,98,224,439,689,54,689,0.000%,4.43656,218.24,3.99
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,82,51,123,274,313,38,313,0.000%,4.49236,1.59,4.23
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,147,139,250,496,551,39,551,0.000%,4.71698,6.14,11.72
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,63,56,93,121,124,33,124,0.000%,5.17813,4.68,12.90
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,69,47,110,216,262,36,262,0.000%,5.18995,8.47,12.89
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,74,55,117,118,311,35,311,0.000%,5.17063,3.42,12.91
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,25,76,50,136,158,235,35,235,0.000%,5.15464,4.98,12.89
/API/DealQueue/v1/DealQueue?count=100,25,304,274,368,458,1038,162,1038,0.000%,4.83092,564.03,12.83
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,25,113,103,191,227,251,35,251,0.000%,4.86381,6.22,12.28
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,25,80,56,113,159,431,36,431,0.000%,4.94364,4.44,12.49
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,25,112,62,192,319,359,34,359,0.000%,4.98405,2.65,4.61
/API/MessageBoard/v1/messages,25,182,111,363,512,628,43,628,0.000%,4.79478,2.81,11.97
/API/DMS/v1/DealerDmsRecords/CleanApps,25,132,110,142,395,558,40,558,0.000%,4.72947,0.92,12.74
/API/DMS/v1/DealerDmsRecords,25,178,84,392,430,529,42,529,0.000%,4.71254,1.19,12.10
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,25,161,169,302,335,508,33,508,0.000%,4.49236,2.13,4.53
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=100&startDate={currentUtcTime},25,4460,5884,7791,7908,7923,261,7923,0.000%,2.31653,5.84,6.37
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,25,211,209,274,326,399,71,399,0.000%,2.32299,2.29,6.16
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,25,107,103,145,224,227,44,227,0.000%,2.32666,9.10,6.19
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,25,104,100,135,184,211,61,211,0.000%,2.31481,13.44,6.14
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,25,98,91,139,143,199,46,199,0.000%,2.29843,6.63,6.13
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,25,141,92,136,140,1251,38,1251,0.000%,2.07383,4.49,5.50
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,25,214,119,224,1239,1245,44,1245,0.000%,2.05626,3.05,5.45
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,25,158,125,291,319,444,56,444,0.000%,1.99728,1.73,5.31
/API/DealQueue/v1/DealQueue?count=2500,200,5410,4582,9805,10706,12035,1663,12448,0.000%,3.24354,9925.01,8.62
/CUDL/{SiteVersion}/App/Common/Views/appSetupDialog.html,25,310,202,244,419,3231,35,3231,0.000%,.94454,4.15,2.51
/DealerPortal/Lending/v1/rpc/Approvals/SmartApprovals,25,300,251,549,599,832,150,832,0.000%,.94751,0.32,1.08
/DealerPortal/Lending/v1/rpc/Approvals/PreApprovals,25,1546,1268,1970,3272,3945,999,3945,0.000%,.92190,0.31,1.03
/DealerPortal/Lending/v1/rpc/Approvals/OtherApprovals,25,182,104,338,368,1006,70,1006,0.000%,.97310,0.33,1.13
/DealerPortal/Lending/v1/MemberEligibility?lenderCode={applicationLenderCode},25,357,336,462,495,531,282,531,0.000%,.96723,0.33,0.97
/CUDL/{SiteVersion}/App/AppEntry/Views/AppEntry.html,25,309,196,281,406,3189,43,3189,0.000%,.98128,3.75,2.60
/CUDL/{SiteVersion}/App/AppEntry/Views/NavMenu.html,25,137,68,146,235,1272,33,1272,0.000%,.98975,1.33,2.62
/CUDL/{SiteVersion}/App/AppEntry/Views/SetupForm.html,25,73,58,116,142,164,31,164,0.000%,.99100,1.18,2.63
/CUDL/{SiteVersion}/App/AppEntry/Views/DealStructure.html,25,83,77,121,151,231,33,231,0.000%,.99526,2.09,2.64
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantForm.html,25,144,85,125,355,1362,33,1362,0.000%,.99996,3.74,2.66
/CUDL/{SiteVersion}/App/AppEntry/Views/Comment.html,25,91,65,123,157,523,31,523,0.000%,1.00305,0.95,2.66
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantResidence.html,25,125,74,126,188,1244,31,1244,0.000%,1.00656,1.74,2.68
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousResidenceForm.html,25,99,83,130,221,388,33,388,0.000%,1.00941,1.24,2.70
/DealerPortal/Lending/v1/rpc/Applications/GenerateDealerApplicationId,25,271,140,246,570,3195,37,3195,0.000%,1.01198,0.36,1.03
/DealerPortal/Lending/v1/SystemType,25,115,96,132,229,471,42,471,0.000%,1.03404,26.74,1.01
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantCurrentEmploymentForm.html,25,87,78,121,216,273,30,273,0.000%,1.05330,2.00,2.82
/CUDL/{SiteVersion}/App/AppEntry/Views/Collateral.html,25,83,68,148,168,172,31,172,0.000%,1.05843,2.71,2.81
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantPreviousEmploymentForm.html,25,78,74,121,165,181,35,181,0.000%,1.06306,1.12,2.84
/DealerPortal/Lending/v1/rpc/Lender/GetLoanTypeConfiguration?lenderCode={applicationLenderCode}&loanType=Auto,25,187,174,208,273,320,139,320,0.000%,1.05838,3.77,1.10
/CUDL/{SiteVersion}/App/AppEntry/Views/InventorySearch.html,25,136,81,168,256,1292,32,1292,0.000%,1.06533,1.74,2.83
/DealerPortal/DealerPortalAPI/v1/Inventory,25,298,252,482,626,849,157,849,0.000%,1.06383,51.85,1.05
/CUDL/{SiteVersion}/App/AppEntry/Views/SavingAppModal.html,25,235,82,185,367,3275,32,3275,0.000%,1.10220,1.67,2.93
/DealerPortal/Lending/v1/CreditApplication,25,358,307,449,532,1020,269,1020,0.000%,1.09500,6.41,4.37
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundConfiguration,25,65,60,91,142,171,33,171,0.000%,1.11952,0.45,1.15
/Account/CUDLLogOut,25,89,62,164,237,256,30,256,0.000%,1.12103,0.76,2.34
TOTAL,1900,859,119,3069,5467,9834,29,12448,0.000%,25.63791,8517.30,53.46
