Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,25,981,868,1713,2250,3297,160,3297,0.000%,5.92417,3.34,1.98
/Home/Login,25,412,74,996,998,1004,33,1004,0.000%,5.98372,14.30,2.67
/Account/Login,25,2650,2616,3119,3563,3573,1580,3573,0.000%,3.86100,10.46,2.51
/CUDL,25,302,151,745,748,839,106,839,0.000%,5.86304,15.50,11.92
/CUDL/styles/lending,25,136,95,151,176,851,78,851,0.000%,5.53955,285.44,11.10
/css,25,411,408,434,447,469,378,469,0.000%,5.10725,8.42,1.72
/CUDL/scripts/Libraries,25,292,217,563,724,853,120,853,0.000%,4.94169,1383.89,9.84
/CUDL/scripts/CUDLApp,25,210,111,371,979,1011,49,1011,0.000%,4.91256,513.19,9.77
/CUDL/CudlWebConfig/GetCudlWebConfig,25,528,350,1081,1162,1273,220,1273,0.000%,4.63994,13.26,9.09
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,188,110,399,559,888,31,888,0.000%,5.82072,2.73,14.56
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,95,44,271,301,303,31,303,0.000%,5.87682,2.76,14.70
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,352,220,298,346,3389,169,3389,0.000%,5.10412,1.47,5.15
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,54,38,61,164,292,30,292,0.000%,5.24109,2.49,4.94
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,38,38,41,50,70,30,70,0.000%,5.26648,2.50,5.00
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,128,45,196,726,810,31,810,0.000%,5.09580,8.27,12.67
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,68,43,65,302,355,32,355,0.000%,5.81260,5.21,14.46
/DealerPortal/DealerPortalAPI/v1/User,50,57,54,70,78,93,44,93,0.000%,11.38693,9.40,10.40
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,78,50,123,146,368,32,368,0.000%,5.67279,3.70,14.11
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,49,44,60,87,123,32,123,0.000%,5.65867,2.96,14.06
/DealerPortal/Lending/v1/SellerFilters/,25,104,90,149,198,209,60,209,0.000%,5.63317,277.11,5.06
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,43,40,54,58,84,32,84,0.000%,5.67279,2.01,5.34
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,84,69,130,196,285,35,285,0.000%,5.59034,7.27,13.89
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,74,43,147,222,231,32,231,0.000%,5.48366,4.95,13.67
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,58,43,72,173,195,32,195,0.000%,5.51146,8.99,13.69
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,49,44,59,71,168,31,168,0.000%,5.52730,3.65,13.80
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,25,50,42,64,113,127,28,127,0.000%,5.53955,5.35,13.85
/API/DealQueue/v1/DealQueue?count=100,25,378,195,612,1734,2326,126,2326,0.000%,3.68026,429.66,9.77
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,25,74,57,125,195,250,30,250,0.000%,3.68080,4.71,9.30
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,25,64,50,105,148,216,29,216,0.000%,3.68243,3.31,9.30
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,25,76,47,196,221,258,31,258,0.000%,3.59660,1.91,3.33
