Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,143,261,94,496,1261,3271,41,3381,0.000%,.47789,0.27,0.16
/Home/Login,143,116,78,212,306,740,31,2491,0.000%,.47798,1.14,0.21
/Account/Login,143,1528,1202,2953,3155,3826,691,4530,0.000%,.47666,1.29,0.31
/CUDL,142,240,198,425,615,1067,36,1271,0.000%,.48830,1.29,0.99
/CUDL/styles/lending,142,181,127,365,506,807,52,836,0.000%,.48816,25.15,0.98
/css,142,604,594,728,887,1596,381,1639,0.000%,.48734,0.79,0.16
/CUDL/scripts/Libraries,142,503,388,878,1378,2098,131,2330,0.000%,.48760,136.55,0.97
/CUDL/scripts/CUDLApp,142,290,225,556,681,1419,58,1547,0.000%,.48773,50.95,0.97
/CUDL/CudlWebConfig/GetCudlWebConfig,142,489,372,950,1183,1774,229,2100,0.000%,.48754,1.39,0.95
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,142,157,106,291,372,786,30,812,0.000%,.48840,0.23,1.22
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,142,96,77,193,233,335,31,362,0.000%,.48833,0.23,1.22
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,142,293,259,358,480,655,143,3251,0.000%,.48797,0.14,0.49
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,142,90,63,94,125,365,31,2848,0.000%,.48830,0.23,0.46
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,142,99,63,93,108,302,30,4808,0.000%,.48824,0.23,0.46
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,142,155,113,314,407,557,33,832,0.000%,.48781,0.79,1.21
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,142,108,77,221,291,426,33,807,0.000%,.48783,0.44,1.21
/DealerPortal/DealerPortalAPI/v1/User,284,85,80,113,129,167,43,437,0.000%,.97544,0.80,0.89
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,142,123,84,240,293,636,32,794,0.000%,.48781,0.32,1.21
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,142,105,77,189,239,672,31,743,0.000%,.48778,0.25,1.21
/DealerPortal/Lending/v1/SellerFilters/,142,169,129,257,376,1162,61,1295,0.000%,.48571,23.89,0.44
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,142,81,69,108,227,371,33,426,0.000%,.48546,0.17,0.46
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,142,138,88,275,326,523,31,1846,0.000%,.48496,0.63,1.21
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,142,121,71,214,270,1038,31,2290,0.000%,.48491,0.44,1.21
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,142,117,75,201,276,1349,33,1999,0.000%,.48472,0.79,1.20
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,142,100,71,159,298,694,33,901,0.000%,.48452,0.32,1.21
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,142,126,71,194,255,553,34,4399,0.000%,.48429,0.47,1.21
/API/DealQueue/v1/DealQueue?count=100,142,470,297,1003,1258,2062,72,2065,0.000%,.48392,57.53,1.28
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,142,145,86,266,304,712,33,1699,0.000%,.48508,0.62,1.23
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,142,112,73,201,274,524,31,1999,0.000%,.48500,0.44,1.23
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,142,262,242,348,378,3291,29,3610,0.000%,.48493,0.26,0.45
/API/MessageBoard/v1/messages,142,174,93,266,358,1996,46,3455,2.113%,.48485,0.28,1.21
/API/DMS/v1/DealerDmsRecords/CleanApps,138,192,133,375,486,937,35,1729,0.000%,.47262,0.09,1.27
/API/DMS/v1/DealerDmsRecords,138,147,88,310,377,742,38,1029,0.000%,.47268,0.12,1.21
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,138,115,66,209,278,437,27,3816,0.000%,.47262,0.22,0.48
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=100&startDate={currentUtcTime},138,2412,426,13880,14430,14642,269,14719,0.000%,.47186,1.19,1.30
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,138,180,152,305,361,529,44,575,0.000%,.47237,0.47,1.25
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,137,164,117,255,352,592,41,3429,0.000%,.47317,1.85,1.26
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,137,152,134,255,357,459,34,908,0.000%,.47297,2.75,1.25
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,137,180,130,249,368,1524,38,3343,0.000%,.47280,1.36,1.26
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,137,148,116,275,313,506,46,580,0.000%,.47235,1.02,1.25
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,137,173,136,291,381,663,34,2299,0.000%,.47204,0.70,1.25
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,137,192,130,360,420,1528,36,2957,0.000%,.47197,0.41,1.26
/API/DealQueue/v1/DealQueue?count=2500,1022,5416,4674,8467,9379,11263,1718,257508,0.098%,3.45573,10570.00,9.17
/CUDL/{SiteVersion}/App/AppDetails/Views/AppDetails.html,117,352,277,483,649,1700,132,3311,0.000%,.44312,0.91,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/DeclineReasons.html,117,144,125,236,286,412,51,775,0.000%,.44360,0.29,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/FundingHistory.html,117,147,129,237,279,424,44,1142,0.000%,.44350,0.39,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/DealStructure.html,117,170,120,237,310,1346,47,1444,0.000%,.44350,0.64,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/LoanPackageTracking.html,117,135,125,221,266,393,49,478,0.000%,.44343,0.32,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/Applicant.html,117,169,127,241,322,1307,41,1399,0.000%,.44333,1.17,1.18
/CUDL/{SiteVersion}/App/AppDetails/Views/DMSIntegration.html,117,138,124,201,273,381,41,715,0.000%,.44326,0.36,1.18
/DealerPortal/Lending/v1/CreditApplication/{dealerApplicationId}/{lendingApplicationId},117,380,344,438,472,683,219,3440,0.000%,.44281,3.10,0.45
/DealerPortal/Lending/v1/rpc/Applications/UpdateStatusIndicator?dealerApplicationId={dealerApplicationId},117,288,256,308,338,1161,207,1402,0.000%,.44301,0.13,0.50
