Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,129,148,54,494,694,1040,24,1055,0.000%,.43229,0.49,0.15
/Home/Login,129,177,97,529,677,845,38,1483,0.000%,.43236,18.56,0.35
/Account/Login,129,1675,952,3505,6860,8649,580,8658,0.000%,.43151,1.31,0.44
/CUDL,129,154,133,263,319,582,41,696,0.000%,.43457,18.59,1.05
/CUDL/styles/lending,129,109,78,200,266,442,31,497,0.000%,.43461,22.53,1.03
/css,129,456,411,512,765,1444,298,1471,0.000%,.43399,0.70,0.15
/CUDL/scripts/Libraries,129,476,357,1040,1306,1527,85,3565,0.000%,.43431,121.73,1.01
/CUDL/scripts/CUDLApp,128,238,189,427,604,1285,41,1974,0.000%,.43769,45.83,1.02
/CUDL/CudlWebConfig/GetCudlWebConfig,128,311,250,429,707,1150,178,1453,0.000%,.43731,1.38,1.01
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,128,174,88,187,230,415,26,9206,0.000%,.43749,0.21,1.25
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,128,86,82,128,152,291,24,324,0.000%,.43735,0.21,1.25
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,128,350,198,581,1446,3177,125,3206,0.000%,.43708,0.42,0.44
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,128,63,46,72,105,465,27,1036,0.000%,.43723,0.43,0.53
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,128,70,47,76,104,284,24,2340,0.000%,.43717,0.35,0.60
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,128,161,96,219,323,1237,26,3232,0.000%,.43704,0.77,1.25
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,128,98,88,173,217,375,29,438,0.000%,.43691,0.45,1.25
/DealerPortal/DealerPortalAPI/v1/User,256,86,56,92,152,1053,29,1847,0.000%,.87359,1.10,1.10
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,128,96,89,162,201,272,23,279,0.000%,.43677,0.34,1.25
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,128,95,87,138,180,368,29,478,0.000%,.43669,0.28,1.24
/DealerPortal/Lending/v1/SellerFilters/,128,437,235,1085,1481,2972,114,3320,0.000%,.43638,75.50,0.51
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,128,102,52,172,237,703,29,3300,0.000%,.43653,0.39,0.53
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,128,159,101,216,273,1352,33,3240,0.000%,.43650,0.62,1.24
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,128,102,82,150,317,398,26,605,0.000%,.43730,0.45,1.25
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,128,105,86,166,217,382,27,1291,0.000%,.43727,0.77,1.24
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,128,94,83,154,167,419,28,510,0.000%,.43720,0.34,1.25
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,128,103,91,159,205,403,26,480,0.000%,.43721,0.48,1.25
/API/DealQueue/v1/DealQueue?count=100,128,373,239,727,953,1676,103,1955,0.000%,.43486,55.67,1.31
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,128,171,97,245,453,1267,27,3180,0.000%,.43485,0.61,1.26
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,128,101,83,182,257,329,23,454,0.000%,.43484,0.45,1.26
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,128,190,134,219,466,3206,25,3304,0.000%,.43470,0.37,0.59
/API/MessageBoard/v1/messages,128,113,104,173,231,327,32,473,2.344%,.43469,0.61,1.24
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=100&startDate={currentUtcTime},125,458,358,616,1067,2474,259,2773,0.000%,.42407,1.87,1.32
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,124,110,98,213,248,313,23,389,0.000%,.43175,0.48,1.30
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,124,86,84,125,158,279,27,302,0.000%,.43172,1.75,1.31
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,124,103,87,184,246,321,28,350,0.000%,.43167,2.56,1.30
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,124,93,84,149,190,249,26,392,0.000%,.43160,1.30,1.31
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,124,101,90,145,170,238,28,1185,0.000%,.43150,0.99,1.30
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,124,106,89,179,211,293,29,1306,0.000%,.43143,0.70,1.30
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,124,104,96,172,209,270,31,401,0.000%,.43137,0.43,1.31
/API/DealQueue/v1/DealQueue?count=2500,911,6070,6214,8919,9602,11211,1318,18318,0.000%,3.05092,9746.09,9.22
/CUDL/{SiteVersion}/App/DigitalDealQueue/Views/DigitalDealQueueComponent.html,104,303,184,330,470,3235,88,3308,0.000%,.41770,1.13,1.27
/CUDL/Logos/AutoSMART.svg,104,118,58,209,396,1145,26,1359,0.000%,.41787,1.45,0.98
/CUDL/Logos/LendingTree.svg,104,74,56,109,159,320,29,500,0.000%,.41786,3.39,0.99
/CUDL/Logos/AutoShopping.svg,104,57,52,79,111,138,28,156,0.000%,.41786,2.60,0.99
/CUDL/Logos/AutoNavigator.svg,104,70,55,106,125,402,27,618,0.000%,.41793,1.88,0.99
/CUDL/Logos/Equifax.svg,104,79,52,94,141,1159,25,1217,0.000%,.41851,0.86,0.99
/CUDL/{SiteVersion}/App/DigitalDealQueue/Views/DigitalDealQueueFiltersComponent.html,104,94,94,122,143,174,33,196,0.000%,.41846,0.87,1.27
/CUDL/{SiteVersion}/App/Common/Views/SwapArrows-Horizontal.html,104,103,97,133,181,325,39,363,0.000%,.41848,0.32,1.27
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=500,104,483,373,686,1013,2437,251,3601,0.000%,.41782,1.84,1.33
/CUDL/{SiteVersion}/App/DigitalDealDetails/Views/DigitalDealDetailsComponent.html,104,92,83,148,169,358,27,394,0.000%,.41866,0.41,1.28
/API/AppStagingProxy/DigitalDeal/{digitalDealAppStagingId},207,481,333,775,1398,2207,180,4447,0.000%,.83257,4.87,2.51
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationHeaderComponent/View/ApplicationHeaderComponent.html,104,132,91,176,219,387,29,3180,0.000%,.41883,0.48,1.29
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicantComponent/View/ApplicantComponent.html,104,108,89,156,205,382,28,1219,0.000%,.41908,1.13,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/CollateralComponent/View/CollateralComponent.html,104,116,92,130,211,1192,31,1224,0.000%,.41928,0.54,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/TradeInComponent/View/TradeInComponent.html,104,98,87,167,199,306,27,366,0.000%,.41929,0.49,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationSummaryComponent/View/ApplicationSummaryComponent.html,104,130,89,157,249,1237,27,1238,0.000%,.41926,0.70,1.29
/CUDL/{SiteVersion}/App/DigitalDealCommon/DealStructureComponent/View/DealStructureComponent.html,104,128,91,139,182,1242,29,1255,0.000%,.41919,0.64,1.28
/CUDL/{SiteVersion}/App/DigitalDealCommon/AddOnsComponent/View/AddOnsComponent.html,104,103,86,166,204,421,29,530,0.000%,.41930,0.42,1.28
