Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,157,208,67,592,846,1304,30,3447,0.000%,.53360,0.61,0.18
/Home/Login,157,176,101,307,569,891,39,3087,0.000%,.53354,22.90,0.44
/Account/Login,157,1193,803,2820,3049,4179,571,4453,0.000%,.53261,1.62,0.55
/CUDL,157,159,121,289,345,658,34,1563,0.000%,.53465,22.87,1.29
/CUDL/styles/lending,157,155,82,246,431,1330,36,1641,0.000%,.53468,27.72,1.27
/css,157,476,451,538,597,1076,330,1514,0.000%,.53395,0.86,0.18
/CUDL/scripts/Libraries,157,563,393,1036,1329,3144,91,3656,0.000%,.53272,149.31,1.24
/CUDL/scripts/CUDLApp,157,267,226,467,592,1151,45,1875,0.000%,.53224,55.73,1.24
/CUDL/CudlWebConfig/GetCudlWebConfig,157,311,263,414,570,997,175,1189,0.000%,.53183,1.66,1.23
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,157,113,102,190,213,347,27,475,0.000%,.53204,0.25,1.52
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,157,103,94,157,207,268,27,373,0.000%,.53196,0.25,1.52
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,157,253,211,335,437,610,127,3220,0.000%,.53168,0.51,0.53
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,157,59,56,77,89,146,30,332,0.000%,.53184,0.52,0.64
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,157,62,56,81,86,122,27,835,0.000%,.53179,0.42,0.73
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,157,151,106,234,316,869,32,1274,0.000%,.53163,0.93,1.51
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,157,108,95,148,254,386,35,429,0.000%,.53147,0.54,1.51
/DealerPortal/DealerPortalAPI/v1/User,314,70,59,87,100,414,30,1201,0.000%,1.06250,1.31,1.33
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,157,110,94,190,238,325,27,422,0.000%,.53111,0.41,1.51
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,157,99,89,160,205,313,31,465,0.000%,.53090,0.35,1.51
/DealerPortal/Lending/v1/SellerFilters/,157,331,220,564,945,1533,82,2090,0.000%,.52836,71.96,0.61
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,156,100,59,127,261,345,29,3215,0.000%,.52721,0.47,0.63
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,156,145,111,228,257,443,33,1351,0.000%,.52686,0.75,1.50
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,156,118,105,167,224,452,31,613,0.000%,.52665,0.54,1.50
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,156,117,100,180,216,364,31,1180,0.000%,.52642,0.93,1.50
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,156,111,98,180,221,371,25,466,0.000%,.52619,0.42,1.50
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,156,133,98,176,261,437,28,3223,0.000%,.52595,0.58,1.50
/API/DealQueue/v1/DealQueue?count=100,155,412,271,729,1174,1905,57,3390,0.000%,.52311,63.30,1.58
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,155,137,111,225,265,358,36,1263,0.000%,.52299,0.74,1.51
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,155,115,102,187,264,359,31,441,0.000%,.52273,0.54,1.51
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,154,233,172,258,316,3203,28,3921,0.000%,.52861,0.45,0.71
/API/MessageBoard/v1/messages,154,153,116,237,299,512,44,1236,1.948%,.52829,0.75,1.51
/API/DMS/v1/DealerDmsRecords/CleanApps,151,163,108,266,366,850,38,3237,0.000%,.51770,0.27,1.58
/API/DMS/v1/DealerDmsRecords,151,126,102,238,302,574,32,653,0.000%,.51758,0.30,1.51
