Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,25,823,841,1171,1176,1183,374,1183,0.000%,21.13271,24.02,7.10
/Home/Login,25,376,300,438,1288,1288,121,1288,0.000%,19.39488,832.36,15.85
/Account/Login,25,4618,4233,6603,7300,7365,3038,7365,0.000%,3.21999,9.78,3.29
/CUDL,25,186,172,257,300,327,103,327,0.000%,5.17813,221.55,12.46
/CUDL/styles/lending,25,109,113,159,180,242,36,242,0.000%,5.16422,267.74,12.25
/css,25,375,353,400,512,673,304,673,0.000%,4.72322,7.62,1.59
/CUDL/scripts/Libraries,25,381,194,781,935,1024,93,1024,0.000%,4.28669,1201.47,10.02
/CUDL/scripts/CUDLApp,25,190,129,412,495,667,40,667,0.000%,3.90320,408.67,9.11
/CUDL/CudlWebConfig/GetCudlWebConfig,25,349,295,611,721,755,203,755,0.000%,3.71250,11.65,8.55
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,112,69,207,230,341,35,341,0.000%,3.85922,1.81,11.04
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,85,49,150,223,316,28,316,0.000%,3.85624,1.81,11.03
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,237,201,268,490,541,138,541,0.000%,3.73469,3.54,3.72
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,40,38,57,58,59,26,59,0.000%,3.85922,3.79,4.63
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,45,44,56,59,63,24,63,0.000%,3.86757,3.06,5.27
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,122,71,106,228,1266,28,1266,0.000%,3.85624,6.75,10.97
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,69,65,91,120,189,31,189,0.000%,3.84025,3.93,10.93
/DealerPortal/DealerPortalAPI/v1/User,50,50,43,62,86,136,31,136,0.000%,7.61267,9.38,9.50
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,96,71,124,325,335,30,335,0.000%,3.79018,2.96,10.79
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,110,114,187,210,227,25,227,0.000%,3.73580,2.43,10.62
/DealerPortal/Lending/v1/SellerFilters/,25,237,172,316,757,994,105,994,0.000%,3.42278,466.14,3.95
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,53,43,69,105,199,27,199,0.000%,3.47850,3.07,4.17
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,108,111,171,189,238,27,238,0.000%,3.40646,4.87,9.69
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,92,76,144,158,384,42,384,0.000%,3.40553,3.51,9.71
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,77,79,110,117,182,25,182,0.000%,3.37838,5.95,9.60
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,87,91,139,187,197,25,197,0.000%,3.35345,2.65,9.57
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,25,102,67,163,326,339,34,339,0.000%,3.32535,3.64,9.51
/API/DealQueue/v1/DealQueue?count=100,25,309,194,496,594,1256,126,1256,0.000%,3.27182,395.92,9.86
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,25,92,91,125,142,248,30,248,0.000%,3.30469,4.65,9.52
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,25,88,65,112,216,330,32,330,0.000%,3.29207,3.38,9.48
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,25,812,56,178,9159,9160,28,9160,0.000%,1.56759,1.32,2.10
/API/MessageBoard/v1/messages,25,113,83,241,281,332,37,332,4.000%,1.54388,2.16,4.40
/API/DMS/v1/DealerDmsRecords/CleanApps,25,134,125,183,245,505,40,505,0.000%,1.58912,0.82,4.85
/API/DMS/v1/DealerDmsRecords,25,103,93,157,264,269,30,269,0.000%,1.59033,0.92,4.65
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,25,345,57,161,3447,3466,28,3466,0.000%,1.31117,1.04,1.86
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,25,129,78,231,342,723,37,723,0.000%,1.30141,1.46,3.91
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,25,102,85,166,221,322,32,322,0.000%,1.29480,5.24,3.91
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,25,102,85,164,195,232,36,232,0.000%,1.28568,7.64,3.86
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,25,132,92,124,185,1271,30,1271,0.000%,1.28245,3.87,3.88
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,25,96,90,148,168,276,36,276,0.000%,1.28015,2.94,3.85
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,25,155,88,245,294,1195,34,1195,0.000%,1.21171,1.96,3.64
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,25,116,95,194,300,354,36,354,0.000%,1.20534,1.21,3.63
/API/DealQueue/v1/DealQueue?count=2500,200,5114,4755,8356,9111,10080,1467,11398,0.000%,3.87800,11667.35,11.69
/CUDL/{SiteVersion}/App/Common/Views/appSetupDialog.html,25,320,194,356,418,3316,28,3316,0.000%,1.09741,4.96,3.31
/DealerPortal/Lending/v1/rpc/Approvals/SmartApprovals,25,470,248,594,1220,3272,126,3272,0.000%,1.07945,0.91,1.51
/DealerPortal/Lending/v1/rpc/Approvals/PreApprovals,25,2200,1665,2346,5237,6371,1148,6371,0.000%,.90217,7.95,1.39
/DealerPortal/Lending/v1/rpc/Approvals/OtherApprovals,25,273,191,630,780,825,87,825,0.000%,1.16414,0.80,1.84
/DealerPortal/Lending/v1/MemberEligibility?lenderCode={applicationLenderCode},25,1069,879,1636,2002,2104,713,2104,0.000%,1.13906,0.96,1.44
/CUDL/{SiteVersion}/App/AppEntry/Views/AppEntry.html,25,273,145,238,269,3228,85,3228,0.000%,1.17542,4.65,3.54
/CUDL/{SiteVersion}/App/AppEntry/Views/NavMenu.html,25,67,56,97,115,172,26,172,0.000%,1.37961,2.04,4.15
/CUDL/{SiteVersion}/App/AppEntry/Views/SetupForm.html,25,74,58,107,127,256,28,256,0.000%,1.38850,1.85,4.18
/CUDL/{SiteVersion}/App/AppEntry/Views/DealStructure.html,25,74,67,119,136,140,29,140,0.000%,1.39307,3.11,4.20
/CUDL/{SiteVersion}/App/AppEntry/Views/ApplicantForm.html,25,74,60,106,135,214,30,214,0.000%,1.39641,5.41,4.21
/CUDL/{SiteVersion}/App/AppEntry/Views/Comment.html,25,74,56,107,173,218,27,218,0.000%,1.40315,1.51,4.22
