Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,152,170,68,266,693,1656,30,1771,0.000%,.51228,0.58,0.17
/Home/Login,152,172,95,308,430,1408,40,2116,0.000%,.51240,21.99,0.42
/Account/Login,152,1224,880,2564,2746,3389,569,4126,0.000%,.51141,1.55,0.53
/CUDL,152,202,173,336,416,572,51,1146,0.000%,.51328,21.96,1.24
/CUDL/styles/lending,152,151,111,274,328,503,35,992,0.000%,.51331,26.62,1.22
/css,152,478,454,576,721,885,288,1871,0.000%,.51255,0.83,0.17
/CUDL/scripts/Libraries,152,533,389,968,1264,1824,95,3855,0.000%,.51266,143.69,1.20
/CUDL/scripts/CUDLApp,152,249,219,424,532,826,40,1133,0.000%,.51288,53.70,1.20
/CUDL/CudlWebConfig/GetCudlWebConfig,152,397,280,644,1069,1359,186,4221,0.000%,.51180,1.62,1.18
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,152,114,100,200,229,333,25,379,0.000%,.51218,0.24,1.47
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,152,106,94,155,201,337,27,373,0.000%,.51202,0.24,1.47
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,152,232,209,266,298,537,112,1845,0.000%,.51176,0.49,0.51
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,152,59,53,80,96,130,26,354,0.000%,.51192,0.50,0.62
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,152,68,54,81,105,341,24,943,0.000%,.51186,0.41,0.70
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,152,131,111,227,259,282,25,1339,0.000%,.51177,0.90,1.46
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,151,110,100,184,217,265,25,391,0.000%,.52286,0.54,1.49
/DealerPortal/DealerPortalAPI/v1/User,302,74,59,94,121,311,30,1111,0.000%,1.04533,1.29,1.31
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,151,151,106,238,328,459,32,3194,0.000%,.52266,0.41,1.49
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,151,121,102,208,258,377,28,1042,0.000%,.52259,0.34,1.49
/DealerPortal/Lending/v1/SellerFilters/,151,312,186,527,1002,1761,81,2394,0.000%,.52201,71.09,0.61
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,151,103,58,121,219,492,26,3222,0.000%,.52207,0.46,0.63
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,151,162,114,261,334,1249,44,1380,0.000%,.52201,0.75,1.49
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,151,126,97,183,202,255,34,3224,0.000%,.52185,0.54,1.49
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,151,118,102,164,191,251,25,1272,0.000%,.52173,0.92,1.49
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,151,105,99,170,202,238,27,278,0.000%,.52142,0.41,1.49
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,151,112,102,171,207,369,23,413,0.000%,.52120,0.57,1.50
/API/DealQueue/v1/DealQueue?count=100,151,374,254,700,997,1803,89,3614,0.000%,.51973,62.90,1.57
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,151,139,106,218,251,820,32,1277,0.000%,.51891,0.73,1.50
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,151,119,102,197,249,354,39,407,0.000%,.51880,0.53,1.50
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,151,218,160,259,349,1413,34,4516,0.000%,.51803,0.44,0.70
/API/MessageBoard/v1/messages,151,181,127,271,343,1282,45,1336,0.662%,.51791,0.74,1.48
/API/DMS/v1/DealerDmsRecords/CleanApps,150,136,107,237,357,485,33,907,0.000%,.51437,0.27,1.57
/API/DMS/v1/DealerDmsRecords,150,110,102,157,211,339,32,343,0.000%,.51424,0.30,1.50
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,150,157,63,175,382,3160,32,3180,0.000%,.51426,0.41,0.73
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,150,118,111,178,231,386,30,420,0.000%,.51412,0.58,1.55
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,150,107,97,164,196,380,37,451,0.000%,.51425,2.08,1.55
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,150,114,100,179,225,419,27,430,0.000%,.51412,3.05,1.55
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,150,144,106,184,221,1291,31,1325,0.000%,.51409,1.55,1.56
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,150,128,106,182,204,1255,29,1263,0.000%,.51386,1.18,1.55
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,150,118,110,200,226,289,33,290,0.000%,.51374,0.83,1.55
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,150,118,102,195,231,417,35,623,0.000%,.51367,0.52,1.55
/API/DealQueue/v1/DealQueue?count=2500,1116,5400,5428,8337,9110,10331,1405,17399,0.000%,3.71850,11187.49,11.22
/CUDL/{SiteVersion}/App/AppDetails/Views/AppDetails.html,126,253,208,269,406,1563,80,3247,0.000%,.50982,1.11,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/DeclineReasons.html,126,107,99,143,182,371,30,378,0.000%,.50984,0.40,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/FundingHistory.html,126,129,98,156,172,360,30,3195,0.000%,.50976,0.51,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/DealStructure.html,126,133,102,167,241,1256,38,1275,0.000%,.50973,0.80,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/LoanPackageTracking.html,126,106,100,142,176,306,35,327,0.000%,.50935,0.43,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/Applicant.html,126,144,102,166,203,1290,27,1303,0.000%,.50922,1.42,1.54
/CUDL/{SiteVersion}/App/AppDetails/Views/DMSIntegration.html,126,102,93,135,158,353,37,407,0.000%,.50931,0.48,1.54
/DealerPortal/Lending/v1/CreditApplication/{dealerApplicationId}/{lendingApplicationId},126,288,225,294,475,2302,136,2652,0.000%,.50892,3.74,0.65
/DealerPortal/Lending/v1/rpc/Applications/UpdateStatusIndicator?dealerApplicationId={dealerApplicationId},126,271,231,294,335,1122,190,3346,0.000%,.50876,0.31,0.79
/CUDL/{SiteVersion}/App/AppDetails/Views/Collateral.html,126,161,105,214,352,1307,30,2267,0.000%,.50907,0.70,1.54
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundConfiguration?lenderCode={applicationLenderCode},126,78,59,91,147,382,35,1156,0.000%,.50912,0.35,0.74
/DealerPortal/Lending/v1/Documents?lenderCode={applicationLenderCode},126,100,67,104,330,653,36,1570,0.000%,.50980,0.43,0.64
/CUDL/{SiteVersion}/App/Common/Views/smartFundTab.html,126,130,102,173,255,1200,31,1248,0.000%,.50971,0.78,1.54
/DealerPortal/Lending/v1/rpc/SmartFund/GetApplicationDocuments?lenderCode={applicationLenderCode},126,91,59,97,138,1221,33,1226,0.000%,.50983,0.98,0.82
/CUDL/{SiteVersion}/App/Common/Views/fileUpload.html,126,114,100,166,257,403,36,409,0.000%,.50971,0.61,1.54
/Account/CUDLLogOut,126,161,68,265,623,1645,27,1660,0.000%,.50953,0.51,1.25
TOTAL,9479,797,119,2825,6063,8534,23,17399,0.011%,31.09776,11439.99,74.88
