Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,25,1485,1764,2615,2773,2810,120,2810,0.000%,7.70891,8.76,2.59
/Home/Login,25,764,1057,1127,1149,1371,52,1371,0.000%,5.57662,239.38,4.56
/Account/Login,25,3461,3276,4347,4381,4439,2475,4439,0.000%,2.93324,8.90,3.01
/CUDL,25,175,156,234,272,299,102,299,0.000%,4.62022,197.65,11.13
/CUDL/styles/lending,25,87,65,139,189,218,32,218,0.000%,4.66418,241.84,11.09
/css,25,353,330,370,544,568,302,568,0.000%,4.38982,7.11,1.48
/CUDL/scripts/Libraries,25,318,248,477,936,1147,99,1147,0.000%,4.42556,1240.39,10.34
/CUDL/scripts/CUDLApp,25,153,108,260,283,734,41,734,0.000%,4.37292,457.85,10.21
/CUDL/CudlWebConfig/GetCudlWebConfig,25,381,280,546,885,1221,184,1221,0.000%,4.24448,13.27,9.78
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,91,67,167,226,256,23,256,0.000%,4.34028,2.03,12.42
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,72,61,99,151,208,25,208,0.000%,4.29258,2.02,12.29
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,195,178,239,279,281,143,281,0.000%,4.14525,3.94,4.13
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,42,40,60,71,72,24,72,0.000%,4.23012,4.16,5.09
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,50,44,65,83,129,26,129,0.000%,4.21799,3.36,5.77
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,149,82,263,580,703,23,703,0.000%,4.12133,7.22,11.74
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,94,84,157,189,192,28,192,0.000%,4.07963,4.18,11.62
/DealerPortal/DealerPortalAPI/v1/User,50,70,46,67,73,851,30,851,0.000%,8.04894,9.95,10.08
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,94,90,155,190,192,28,192,0.000%,3.97836,3.10,11.33
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,83,84,118,171,184,26,184,0.000%,3.91665,2.55,11.14
