Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,100,229,48,857,1054,1096,25,1097,0.000%,.33474,0.19,0.11
/Home/Login,100,45,32,71,95,239,21,265,0.000%,.33571,0.12,0.15
/v2/,100,78,33,67,99,394,20,3256,0.000%,.33565,0.68,0.15
/v2/assets/config.json,100,43,31,64,98,207,21,369,0.000%,.33562,0.28,0.14
/V2/assets/dictionary/dictionary.json,100,45,38,66,81,136,23,322,0.000%,.33558,2.53,0.15
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,100,61,54,81,148,209,26,291,0.000%,.33554,7.76,0.17
/cuid/api/token/provider,100,522,444,853,876,974,359,1736,0.000%,.33495,0.29,0.20
/cuid/api/token,100,6746,1458,22015,22071,22345,937,22355,0.000%,.33409,0.54,0.21
/Home/LoginWidget,95,1423,1152,2018,3150,3291,806,6702,0.000%,.34368,0.88,0.52
/CUDL,93,214,93,706,896,1154,29,1190,0.000%,.34046,0.90,1.02
/CUDL/styles/lending,93,131,93,235,253,631,39,862,0.000%,.34027,17.48,1.01
/css,93,552,376,501,521,573,243,15392,0.000%,.33971,0.55,0.11
/CUDL/scripts/Libraries,93,349,236,609,1122,1454,97,1464,0.000%,.33916,94.98,1.01
/CUDL/scripts/CUDLApp,93,261,162,391,721,1519,69,1758,0.000%,.33814,62.98,1.00
/CUDL/CudlWebConfig/GetCudlWebConfig,92,626,430,1482,1565,1627,173,2845,0.000%,.33506,0.94,0.98
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,90,159,110,288,417,862,25,1037,0.000%,.33070,0.16,1.17
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,90,122,72,213,341,461,30,1432,0.000%,.33077,0.16,1.17
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,90,175,171,232,267,351,79,540,0.000%,.33073,0.09,0.70
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,90,50,38,88,116,156,23,186,0.000%,.33089,0.16,0.68
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,90,46,39,72,85,158,23,231,0.000%,.33085,0.16,0.68
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,90,162,73,312,823,887,28,897,0.000%,.33057,0.54,1.17
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,90,88,66,174,211,249,26,324,0.000%,.33093,0.30,1.17
/DealerPortal/DealerPortalAPI/v1/User,180,70,57,111,126,188,36,460,0.000%,.66157,0.56,1.33
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,90,86,68,166,179,287,25,456,0.000%,.33131,0.22,1.17
