Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,25,179,131,144,638,837,120,837,0.000%,17.50700,9.88,5.86
/Home/Login,25,27,26,34,34,39,20,39,0.000%,19.12777,7.04,8.54
/v2/,25,27,27,31,32,34,21,34,0.000%,19.21599,38.35,8.44
/v2/assets/config.json,25,25,26,28,30,32,21,32,0.000%,19.24557,15.94,8.23
/V2/assets/dictionary/dictionary.json,25,26,26,30,30,30,22,30,0.000%,19.18649,144.54,8.58
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,25,29,29,32,34,34,24,34,0.000%,19.12777,442.61,9.53
/cuid/api/token/provider,25,930,841,1248,2382,2382,338,2382,0.000%,6.83434,5.84,4.03
/cuid/api/token,25,13110,13165,13894,14085,14173,10754,14173,0.000%,1.73527,2.82,1.07
/Home/LoginWidget,25,1992,2012,2376,2538,2876,1497,2876,0.000%,8.00000,20.42,12.22
/CUDL,25,189,100,173,1096,1560,23,1560,0.000%,8.86525,23.44,26.68
/CUDL/styles/lending,25,137,105,160,396,707,62,707,0.000%,8.48608,436.02,25.29
/css,25,342,351,365,376,378,249,378,0.000%,7.73036,12.46,2.60
/CUDL/scripts/Libraries,25,593,358,1445,1675,1803,100,1803,0.000%,6.27195,1756.42,18.62
/CUDL/scripts/CUDLApp,25,726,411,1675,1844,2039,70,2039,0.000%,6.56858,1223.45,19.49
/CUDL/CudlWebConfig/GetCudlWebConfig,25,806,773,1420,1718,1787,209,1787,0.000%,6.77690,18.92,19.89
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,262,186,568,851,1018,37,1018,0.000%,10.31779,4.85,36.60
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,106,59,160,253,917,26,917,0.000%,11.64958,5.47,41.32
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,206,158,355,404,424,119,424,0.000%,11.39991,3.27,24.01
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,37,28,43,91,164,23,164,0.000%,12.72265,6.04,25.97
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,33,28,33,37,157,24,157,0.000%,12.76161,6.06,26.13
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,159,45,329,845,987,23,987,0.000%,12.56913,20.40,44.40
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,81,43,87,100,883,24,883,0.000%,13.06848,11.70,46.17
/DealerPortal/DealerPortalAPI/v1/User,50,41,41,48,49,55,33,55,0.000%,25.45825,21.41,51.19
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,45,36,68,101,101,25,101,0.000%,13.15789,8.58,46.48
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,61,48,63,95,430,23,430,0.000%,13.06165,6.82,46.10
/DealerPortal/Lending/v1/SellerFilters/,25,81,72,87,98,300,60,300,0.000%,12.72265,739.73,25.40
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,33,29,36,71,73,24,73,0.000%,12.95337,4.34,26.41
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,47,44,63,115,122,28,122,0.000%,12.41311,16.15,43.82
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,51,50,75,92,101,25,101,0.000%,12.17137,10.99,43.05
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,45,41,63,81,85,23,85,0.000%,12.12415,19.78,42.78
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,47,46,62,82,95,25,95,0.000%,12.11240,8.01,42.89
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,25,54,56,66,76,140,25,140,0.000%,11.88778,11.48,42.14
/API/DealQueue/v1/DealQueue?count=100,25,183,166,265,309,353,102,353,0.000%,11.57943,1533.53,42.85
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,25,44,47,58,61,108,23,108,0.000%,13.01406,16.64,46.46
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,25,43,40,60,71,80,25,80,0.000%,12.95337,11.64,46.26
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,25,44,31,79,126,151,26,151,0.000%,12.93996,6.87,26.17
/API/MessageBoard/v1/messages,25,59,49,89,124,167,28,167,4.000%,12.71617,7.32,45.03
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=100&startDate={currentUtcTime},25,9311,9703,10338,11041,16016,1339,16016,0.000%,1.39579,87.27,5.29
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,25,161,154,223,253,256,82,256,0.000%,1.50566,1.48,5.57
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,25,105,71,241,324,434,30,434,0.000%,1.51003,5.91,5.60
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,25,110,75,254,275,291,33,291,0.000%,1.50340,8.73,5.56
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,25,122,74,247,297,315,32,315,0.000%,1.49005,4.34,5.53
/CUDL/{SiteVersion}/App/Forms/Views/FormsComponent.html,25,123,77,240,253,337,28,337,0.000%,1.48386,3.21,5.49
/CUDL/{SiteVersion}/App/AppDetails/Views/Lender.html,25,97,73,190,229,294,29,294,0.000%,1.48254,2.20,5.48
/CUDL/{SiteVersion}/App/AppDetails/Views/DecisionHistory.html,25,111,76,161,302,470,30,470,0.000%,1.47432,1.28,5.46
/API/DealQueue/v1/DealQueue?count=2500,200,5368,5368,8400,8843,9574,1340,9928,0.000%,3.35486,11006.62,12.42
/CUDL/{SiteVersion}/App/DigitalDealQueue/Views/DigitalDealQueueComponent.html,25,186,170,249,359,405,27,405,0.000%,.64971,1.69,2.42
/CUDL/Logos/AutoSMART.svg,25,118,100,143,153,765,29,765,0.000%,.65172,2.27,1.96
/CUDL/Logos/LendingTree.svg,25,116,81,129,232,766,29,766,0.000%,.65382,5.31,1.97
/CUDL/Logos/AutoShopping.svg,25,99,83,143,254,270,46,270,0.000%,.65431,4.08,1.97
/CUDL/Logos/AutoNavigator.svg,25,95,85,133,188,233,34,233,0.000%,.65493,2.95,1.97
/CUDL/Logos/Equifax.svg,25,89,86,119,134,158,34,158,0.000%,.65514,1.34,1.97
/CUDL/{SiteVersion}/App/DigitalDealQueue/Views/DigitalDealQueueFiltersComponent.html,25,81,70,123,144,194,28,194,0.000%,.65588,1.33,2.44
/CUDL/{SiteVersion}/App/Common/Views/SwapArrows-Horizontal.html,25,83,90,124,139,154,25,154,0.000%,.65741,0.46,2.44
/API/AppStagingProxy/DigitalDeal/GetDigitalDeals?count=500,25,2860,2833,4276,4527,4537,1068,4537,0.000%,.63053,193.54,2.43
/CUDL/{SiteVersion}/App/DigitalDealDetails/Views/DigitalDealDetailsComponent.html,25,141,127,197,227,308,56,308,0.000%,.65496,0.60,2.44
/API/AppStagingProxy/DigitalDeal/{digitalDealAppStagingId},50,619,478,918,1532,2523,234,2523,0.000%,1.28159,7.09,4.73
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationHeaderComponent/View/ApplicationHeaderComponent.html,25,62,53,98,134,145,26,145,0.000%,.66628,0.71,2.50
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicantComponent/View/ApplicantComponent.html,25,125,58,146,173,1312,24,1312,0.000%,.66700,1.75,2.49
/CUDL/{SiteVersion}/App/DigitalDealCommon/CollateralComponent/View/CollateralComponent.html,25,71,54,128,161,209,27,209,0.000%,.66868,0.81,2.50
/CUDL/{SiteVersion}/App/DigitalDealCommon/TradeInComponent/View/TradeInComponent.html,25,61,52,94,134,172,23,172,0.000%,.67103,0.74,2.50
/CUDL/{SiteVersion}/App/DigitalDealCommon/ApplicationSummaryComponent/View/ApplicationSummaryComponent.html,25,57,45,91,117,252,23,252,0.000%,.67364,1.08,2.53
/CUDL/{SiteVersion}/App/DigitalDealCommon/DealStructureComponent/View/DealStructureComponent.html,25,69,52,90,97,470,25,470,0.000%,.67776,0.99,2.53
/CUDL/{SiteVersion}/App/DigitalDealCommon/AddOnsComponent/View/AddOnsComponent.html,25,68,53,106,192,264,24,264,0.000%,.68542,0.64,2.55
/CUDL/{SiteVersion}/App/AppEntry/Views/AppEntry.html,25,56,54,93,103,131,27,131,0.000%,.68910,2.63,2.55
/CUDL/{SiteVersion}/App/AppEntry/Views/NavMenu.html,25,62,53,102,137,140,24,140,0.000%,.69021,0.93,2.55
/CUDL/{SiteVersion}/App/AppEntry/Views/Comment.html,25,55,44,110,112,134,25,134,0.000%,.69078,0.65,2.55
/CUDL/{SiteVersion}/App/AppEntry/Views/SetupForm.html,25,63,52,103,117,222,26,222,0.000%,.69112,0.83,2.56
/CUDL/{SiteVersion}/App/AppEntry/Views/DealStructure.html,25,71,52,132,200,218,25,218,0.000%,.69248,1.45,2.56
/CUDL/{SiteVersion}/App/Common/Views/appSetupDialog.html,25,78,49,122,202,460,26,460,0.000%,.70061,3.08,2.59
