Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,125,113,80,169,228,519,24,1042,0.000%,.42387,0.24,0.14
/Home/Login,125,68,55,96,191,406,21,421,0.000%,.42398,0.16,0.19
/v2/,125,74,52,88,171,444,23,1257,0.000%,.42394,0.85,0.19
/v2/assets/config.json,125,64,55,90,158,270,21,342,0.000%,.42389,0.35,0.18
/V2/assets/dictionary/dictionary.json,125,63,56,86,107,358,22,398,0.000%,.42381,3.19,0.19
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,125,68,57,101,147,302,27,369,0.000%,.42376,9.81,0.21
/cuid/api/token/provider,125,804,499,1883,2193,2371,340,2421,0.000%,.42318,0.36,0.25
/cuid/api/token,125,3710,1209,13204,13312,13482,927,13576,0.000%,.42436,0.69,0.26
/Home/LoginWidget,125,1819,1141,2965,3520,21014,748,21037,1.600%,.44157,1.13,0.66
/CUDL,123,152,113,245,319,700,31,923,0.000%,.43851,1.16,1.32
/CUDL/styles/lending,123,210,140,306,656,1489,35,2082,0.000%,.43834,22.52,1.31
/css,123,494,467,643,700,957,295,1545,0.000%,.43769,0.72,0.15
/CUDL/scripts/Libraries,123,541,335,1015,1405,3360,89,3763,0.000%,.43721,122.44,1.30
/CUDL/scripts/CUDLApp,122,399,327,781,1030,1521,69,1544,0.000%,.43543,81.10,1.29
/CUDL/CudlWebConfig/GetCudlWebConfig,122,548,384,1097,1256,2454,185,3017,0.000%,.43504,1.21,1.28
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,122,140,114,240,316,446,25,827,0.000%,.43562,0.20,1.54
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,122,141,116,240,311,430,25,970,0.000%,.43578,0.20,1.54
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,122,214,177,259,317,538,85,3199,0.000%,.43559,0.13,0.91
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,121,55,52,84,90,142,24,152,0.000%,.43260,0.21,0.88
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,121,52,50,77,91,112,25,122,0.000%,.43251,0.21,0.88
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,119,149,121,258,357,453,27,1339,0.000%,.42570,0.69,1.50
