Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://qa-dealer.cudl.com,25,137,135,161,163,170,114,170,0.000%,22.40143,12.64,7.50
/Home/Login,25,25,25,28,30,31,20,31,0.000%,24.55796,9.04,10.96
/v2/,25,27,27,31,36,46,22,46,0.000%,24.43793,49.06,10.74
/v2/assets/config.json,25,27,25,30,33,60,22,60,0.000%,24.27184,20.10,10.38
/V2/assets/dictionary/dictionary.json,25,27,27,29,31,37,24,37,0.000%,24.20136,182.31,10.82
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,25,30,30,35,37,43,25,43,0.000%,24.13127,558.39,12.02
/cuid/api/token/provider,25,1962,749,7663,8626,8655,378,8655,0.000%,2.60988,2.23,1.54
/cuid/api/token,25,10503,11790,12165,12235,12258,3574,12258,0.000%,1.91248,3.10,1.18
/Home/LoginWidget,25,1579,1702,1933,2106,2233,865,2233,0.000%,9.09091,23.21,13.88
/CUDL,25,55,36,72,183,203,26,203,0.000%,14.59428,38.60,43.93
/CUDL/styles/lending,25,150,94,168,497,790,53,790,0.000%,10.10918,519.42,30.13
/css,25,336,334,366,407,408,291,408,0.000%,9.24214,14.89,3.10
/CUDL/scripts/Libraries,25,599,492,1123,1268,1465,108,1465,0.000%,8.45737,2368.43,25.11
/CUDL/scripts/CUDLApp,25,441,309,854,1257,1288,91,1288,0.000%,8.10110,1508.90,24.03
/CUDL/CudlWebConfig/GetCudlWebConfig,25,637,424,1189,1214,1260,224,1260,0.000%,7.58495,21.49,22.27
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,140,87,227,424,826,26,826,0.000%,10.06441,4.73,35.55
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,83,54,148,163,368,25,368,0.000%,10.72501,5.04,37.88
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,151,147,179,180,184,113,184,0.000%,10.65190,3.06,22.28
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,28,28,33,34,38,21,38,0.000%,11.29688,5.36,22.89
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,31,30,37,51,58,24,58,0.000%,11.28159,5.35,22.94
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,70,61,117,126,171,26,171,0.000%,11.05705,17.95,38.89
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,52,44,76,134,145,26,145,0.000%,10.55743,9.45,37.15
/DealerPortal/DealerPortalAPI/v1/User,50,47,45,57,62,80,35,80,0.000%,21.54244,17.78,43.00
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,48,50,60,75,106,24,106,0.000%,10.79914,7.04,37.99
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,47,36,62,121,146,24,146,0.000%,10.25851,5.36,36.06
/DealerPortal/Lending/v1/SellerFilters/,25,64,63,70,95,134,42,134,0.000%,10.20408,501.96,20.22
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,32,30,39,51,53,22,53,0.000%,10.38637,3.67,21.03
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,58,58,86,104,107,26,107,0.000%,10.19160,13.26,35.83
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,62,55,91,128,134,25,134,0.000%,9.99201,9.03,35.20
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,53,51,72,111,148,26,148,0.000%,9.95223,16.24,34.97
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,53,51,74,106,134,24,134,0.000%,9.73899,6.44,34.34
