Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,25,201,148,172,360,1267,129,1267,0.000%,16.29726,18.53,5.47
/Home/Login,25,39,28,35,37,294,23,294,0.000%,17.56852,6.50,14.36
/v2/,25,27,27,32,34,34,22,34,0.000%,17.58087,35.09,14.25
/v2/assets/config.json,25,29,28,36,37,41,23,41,0.000%,17.56852,14.57,14.05
/V2/assets/dictionary/dictionary.json,25,30,30,36,39,47,22,47,0.000%,17.61804,132.71,14.44
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,25,36,32,46,57,68,26,68,0.000%,17.14678,396.77,14.92
/cuid/api/token/provider,25,407,357,441,761,951,324,951,0.000%,13.13025,10.46,7.76
/cuid/api/token,25,4150,4356,5861,5966,6039,1245,6039,0.000%,3.80518,6.64,2.36
/Home/LoginWidget,25,957,974,1236,1324,1352,618,1352,0.000%,3.78158,10.88,7.18
/CUDL,25,198,125,272,551,1205,40,1205,0.000%,4.11252,175.92,13.92
/CUDL/styles/lending,25,162,123,227,229,818,40,818,0.000%,4.06042,209.93,13.62
/css,25,342,313,411,432,864,273,864,0.000%,3.81854,6.14,1.29
/CUDL/scripts/Libraries,25,458,350,657,719,1796,100,1796,0.000%,3.56990,1000.57,11.83
/CUDL/scripts/CUDLApp,25,283,256,425,613,932,77,932,0.000%,3.46164,645.58,11.46
/CUDL/CudlWebConfig/GetCudlWebConfig,25,373,300,485,1164,1175,184,1175,0.000%,3.36022,10.33,11.02
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,92,79,169,211,244,25,244,0.000%,3.47174,1.63,13.52
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,76,63,114,139,226,25,226,0.000%,3.46404,1.63,13.49
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,196,186,257,271,292,131,292,0.000%,3.35976,3.19,6.99
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,42,36,56,82,91,27,91,0.000%,3.40878,3.35,7.62
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,45,39,73,80,88,26,88,0.000%,3.40739,2.72,8.18
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,137,89,160,614,714,28,714,0.000%,3.37883,5.67,13.11
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,80,61,134,173,186,26,186,0.000%,3.34046,3.18,12.96
/DealerPortal/DealerPortalAPI/v1/User,50,76,53,85,195,443,33,443,0.000%,6.58415,8.14,15.04
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,92,87,163,179,199,30,199,0.000%,3.27011,2.32,12.69
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,81,83,112,137,216,25,216,0.000%,3.24423,1.88,12.58
