Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://uat-dealer.cudl.com,25,132,133,142,143,145,120,145,0.000%,22.93578,26.07,7.70
/Home/Login,25,26,25,29,39,44,20,44,0.000%,25.27806,9.36,20.66
/v2/,25,27,27,30,31,34,22,34,0.000%,25.20161,50.29,20.43
/v2/assets/config.json,25,25,25,29,30,40,22,40,0.000%,25.22704,20.92,20.18
/V2/assets/dictionary/dictionary.json,25,30,28,33,56,61,20,61,0.000%,25.27806,190.41,20.71
/v2/cudirect.97d2dadbd9d377a1a23e.woff2,25,29,29,33,34,43,24,43,0.000%,25.30364,585.52,22.02
/cuid/api/token/provider,25,423,360,589,683,738,338,738,0.000%,15.29988,12.03,9.04
/cuid/api/token,25,3355,3538,4179,4420,4545,1960,4545,0.000%,5.27204,8.97,3.26
/Home/LoginWidget,25,2045,2129,2402,4198,4980,776,4980,0.000%,3.29554,9.48,6.26
/CUDL,25,113,120,141,148,177,36,177,0.000%,3.62845,155.22,12.28
/CUDL/styles/lending,25,103,83,154,185,545,33,545,0.000%,3.56176,184.15,11.94
/css,25,298,299,314,343,350,264,350,0.000%,3.44590,5.60,1.16
/CUDL/scripts/Libraries,25,316,223,539,839,1219,86,1219,0.000%,3.50828,983.29,11.62
/CUDL/scripts/CUDLApp,25,248,180,423,638,774,63,774,0.000%,3.55973,663.87,11.79
/CUDL/CudlWebConfig/GetCudlWebConfig,25,776,625,1509,2525,2870,187,2870,0.000%,3.40878,10.40,11.18
/CUDL/App/Content/LoggerConfig/InsightLoggerConfiguration.txt,25,78,76,119,149,204,23,204,0.000%,3.61637,1.70,14.07
/CUDL/App/Content/LoggerConfig/ConsoleLoggerConfiguration.txt,25,55,43,88,132,140,25,140,0.000%,3.63108,1.71,14.13
/DealerPortal/Lending/v1/rpc/Applications/CleanApps,25,203,150,233,306,1072,130,1072,0.000%,3.50042,3.33,7.27
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDealQueueFirebaseToken,25,40,31,55,90,147,25,147,0.000%,3.49699,3.44,7.81
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDigitalDealQueueFirebaseToken,25,44,38,68,77,103,25,103,0.000%,3.47947,2.77,8.34
/CUDL/{SiteVersion}/App/Common/Views/siteHeader.html,25,102,108,146,208,276,28,276,0.000%,3.41204,5.76,13.23
/CUDL/{SiteVersion}/App/Home/Views/HomeComponent.html,25,64,52,102,135,154,25,154,0.000%,3.35435,3.23,13.01
/DealerPortal/DealerPortalAPI/v1/User,50,306,45,1021,1329,3417,32,3417,0.000%,6.61113,8.17,15.08
/CUDL/{SiteVersion}/App/Common/Views/SiteFooter.html,25,87,60,158,173,321,25,321,0.000%,3.60542,2.59,13.98
/CUDL/{SiteVersion}/App/Common/Views/Overlay.html,25,60,57,97,98,113,25,113,0.000%,3.58269,2.11,13.88
/DealerPortal/Lending/v1/SellerFilters/,25,272,159,399,1021,1373,89,1373,0.000%,3.37109,459.07,7.38
/DealerPortal/Lending/v1/rpc/SmartFund/GetSmartFundLendersByDealer,25,44,36,59,101,121,30,121,0.000%,3.39213,3.01,7.57
/CUDL/{SiteVersion}/App/Common/Views/userInfo.html,25,96,73,143,260,300,28,300,0.000%,3.34717,4.58,12.97
/CUDL/{SiteVersion}/App/Common/Views/dealersDropdown.html,25,81,67,112,211,256,30,256,0.000%,3.33645,3.24,12.95
/CUDL/{SiteVersion}/App/DMS/Views/DmsSearch.html,25,77,59,148,161,187,29,187,0.000%,3.30557,5.61,12.80
/CUDL/{SiteVersion}/App/Messages/Views/MessagesComponent.html,25,88,50,196,236,313,25,313,0.000%,3.30600,2.41,12.85
/CUDL/{SiteVersion}/App/Home/Views/DealerStatisticsComponent.html,25,109,68,263,436,495,26,495,0.000%,3.29685,3.40,12.82
/API/DealQueue/v1/DealQueue?count=100,25,240,169,389,558,706,104,706,0.000%,3.23792,393.21,13.10
/CUDL/{SiteVersion}/App/Messages/Views/MessageBoardComponent.html,25,91,73,152,185,259,31,259,0.000%,3.20390,4.31,12.54
/CUDL/{SiteVersion}/App/Messages/Views/MessageDetailComponent.html,25,90,73,163,228,238,25,238,0.000%,3.12852,3.02,12.25
/DealerPortal/DealerPortalAPI/v1/DealerStatistics,25,220,49,248,288,2973,29,2973,0.000%,3.06335,2.61,7.27
/API/MessageBoard/v1/messages,25,147,118,251,300,315,43,315,0.000%,3.06485,1.76,11.91
/API/DMS/v1/DealerDmsRecords/CleanApps,25,87,59,146,242,345,29,345,0.000%,3.04915,1.57,12.45
/API/DMS/v1/DealerDmsRecords,25,79,60,134,213,249,28,249,0.000%,2.99904,1.72,11.86
/DealerPortal/Lending/v1/rpc/FirebaseToken/GetDmsFirebaseToken,25,110,62,180,499,499,32,499,0.000%,2.96490,2.36,7.28
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueue.html,25,77,54,147,181,242,27,242,0.000%,3.12110,3.28,12.61
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueComponent.html,25,69,55,84,163,237,28,237,0.000%,3.09866,12.35,12.55
/CUDL/{SiteVersion}/App/Common/Views/AppSummary.html,25,71,55,98,139,266,30,266,0.000%,3.07201,18.06,12.41
/CUDL/{SiteVersion}/App/DealQueue/Views/DealQueueFiltersComponent.html,25,118,60,124,210,1283,30,1283,0.000%,2.74123,8.18,11.12
